method,n,seed,episode,edge_count,optimal_edge_count,optimality_ratio,absolute_gap,exact_optimum,turan_isomorphic,constraint_violations,terminal_maximal,episode_length,inference_time_seconds,parameter_count,checkpoint
gnn,6,0,0,9,9,1.0,0,1,1,0,1,9,0.0006147278749892848,38337,runs/mvp-seed-0/best.pt
gnn,6,0,1,9,9,1.0,0,1,1,0,1,9,0.0006147278749892848,38337,runs/mvp-seed-0/best.pt
gnn,6,0,2,9,9,1.0,0,1,1,0,1,9,0.0006147278749892848,38337,runs/mvp-seed-0/best.pt
gnn,6,0,3,9,9,1.0,0,1,1,0,1,9,0.0006147278749892848,38337,runs/mvp-seed-0/best.pt
gnn,6,0,4,9,9,1.0,0,1,1,0,1,9,0.0006147278749892848,38337,runs/mvp-seed-0/best.pt
gnn,6,0,5,9,9,1.0,0,1,1,0,1,9,0.0006147278749892848,38337,runs/mvp-seed-0/best.pt
gnn,6,0,6,9,9,1.0,0,1,1,0,1,9,0.0006147278749892848,38337,runs/mvp-seed-0/best.pt
gnn,6,0,7,9,9,1.0,0,1,1,0,1,9,0.0006147278749892848,38337,runs/mvp-seed-0/best.pt
gnn,6,0,8,9,9,1.0,0,1,1,0,1,9,0.0006147278749892848,38337,runs/mvp-seed-0/best.pt
gnn,6,0,9,9,9,1.0,0,1,1,0,1,9,0.0006147278749892848,38337,runs/mvp-seed-0/best.pt
gnn,6,0,10,9,9,1.0,0,1,1,0,1,9,0.0006147278749892848,38337,runs/mvp-seed-0/best.pt
gnn,6,0,11,9,9,1.0,0,1,1,0,1,9,0.0006147278749892848,38337,runs/mvp-seed-0/best.pt
gnn,6,0,12,9,9,1.0,0,1,1,0,1,9,0.0006147278749892848,38337,runs/mvp-seed-0/best.pt
gnn,6,0,13,9,9,1.0,0,1,1,0,1,9,0.0006147278749892848,38337,runs/mvp-seed-0/best.pt
gnn,6,0,14,9,9,1.0,0,1,1,0,1,9,0.0006147278749892848,38337,runs/mvp-seed-0/best.pt
gnn,6,0,15,9,9,1.0,0,1,1,0,1,9,0.0006147278749892848,38337,runs/mvp-seed-0/best.pt
gnn,6,0,16,9,9,1.0,0,1,1,0,1,9,0.0006147278749892848,38337,runs/mvp-seed-0/best.pt
gnn,6,0,17,9,9,1.0,0,1,1,0,1,9,0.0006147278749892848,38337,runs/mvp-seed-0/best.pt
gnn,6,0,18,9,9,1.0,0,1,1,0,1,9,0.0006147278749892848,38337,runs/mvp-seed-0/best.pt
gnn,6,0,19,9,9,1.0,0,1,1,0,1,9,0.0006147278749892848,38337,runs/mvp-seed-0/best.pt
gnn,6,0,20,9,9,1.0,0,1,1,0,1,9,0.0006147278749892848,38337,runs/mvp-seed-0/best.pt
gnn,6,0,21,9,9,1.0,0,1,1,0,1,9,0.0006147278749892848,38337,runs/mvp-seed-0/best.pt
gnn,6,0,22,9,9,1.0,0,1,1,0,1,9,0.0006147278749892848,38337,runs/mvp-seed-0/best.pt
gnn,6,0,23,9,9,1.0,0,1,1,0,1,9,0.0006147278749892848,38337,runs/mvp-seed-0/best.pt
gnn,6,0,24,9,9,1.0,0,1,1,0,1,9,0.0006147278749892848,38337,runs/mvp-seed-0/best.pt
gnn,6,0,25,9,9,1.0,0,1,1,0,1,9,0.0006147278749892848,38337,runs/mvp-seed-0/best.pt
gnn,6,0,26,9,9,1.0,0,1,1,0,1,9,0.0006147278749892848,38337,runs/mvp-seed-0/best.pt
gnn,6,0,27,9,9,1.0,0,1,1,0,1,9,0.0006147278749892848,38337,runs/mvp-seed-0/best.pt
gnn,6,0,28,9,9,1.0,0,1,1,0,1,9,0.0006147278749892848,38337,runs/mvp-seed-0/best.pt
gnn,6,0,29,9,9,1.0,0,1,1,0,1,9,0.0006147278749892848,38337,runs/mvp-seed-0/best.pt
gnn,6,0,30,9,9,1.0,0,1,1,0,1,9,0.0006147278749892848,38337,runs/mvp-seed-0/best.pt
gnn,6,0,31,9,9,1.0,0,1,1,0,1,9,0.0006147278749892848,38337,runs/mvp-seed-0/best.pt
gnn,6,0,32,9,9,1.0,0,1,1,0,1,9,0.0006147278749892848,38337,runs/mvp-seed-0/best.pt
gnn,6,0,33,9,9,1.0,0,1,1,0,1,9,0.0006147278749892848,38337,runs/mvp-seed-0/best.pt
gnn,6,0,34,9,9,1.0,0,1,1,0,1,9,0.0006147278749892848,38337,runs/mvp-seed-0/best.pt
gnn,6,0,35,9,9,1.0,0,1,1,0,1,9,0.0006147278749892848,38337,runs/mvp-seed-0/best.pt
gnn,6,0,36,9,9,1.0,0,1,1,0,1,9,0.0006147278749892848,38337,runs/mvp-seed-0/best.pt
gnn,6,0,37,9,9,1.0,0,1,1,0,1,9,0.0006147278749892848,38337,runs/mvp-seed-0/best.pt
gnn,6,0,38,9,9,1.0,0,1,1,0,1,9,0.0006147278749892848,38337,runs/mvp-seed-0/best.pt
gnn,6,0,39,9,9,1.0,0,1,1,0,1,9,0.0006147278749892848,38337,runs/mvp-seed-0/best.pt
gnn,6,0,40,9,9,1.0,0,1,1,0,1,9,0.0006147278749892848,38337,runs/mvp-seed-0/best.pt
gnn,6,0,41,9,9,1.0,0,1,1,0,1,9,0.0006147278749892848,38337,runs/mvp-seed-0/best.pt
gnn,6,0,42,9,9,1.0,0,1,1,0,1,9,0.0006147278749892848,38337,runs/mvp-seed-0/best.pt
gnn,6,0,43,9,9,1.0,0,1,1,0,1,9,0.0006147278749892848,38337,runs/mvp-seed-0/best.pt
gnn,6,0,44,9,9,1.0,0,1,1,0,1,9,0.0006147278749892848,38337,runs/mvp-seed-0/best.pt
gnn,6,0,45,9,9,1.0,0,1,1,0,1,9,0.0006147278749892848,38337,runs/mvp-seed-0/best.pt
gnn,6,0,46,9,9,1.0,0,1,1,0,1,9,0.0006147278749892848,38337,runs/mvp-seed-0/best.pt
gnn,6,0,47,9,9,1.0,0,1,1,0,1,9,0.0006147278749892848,38337,runs/mvp-seed-0/best.pt
