method,n,seed_count,optimality_ratio_mean,optimality_ratio_ci95,exact_optimum_rate_mean,exact_optimum_rate_ci95,mean_inference_time_seconds,parameter_count,constraint_violations,terminal_maximal_rate
gnn,6,5,1.0,0.0,1.0,0.0,0.00066623237799826,38337,0,1.0
gnn,8,5,0.999375,0.0007258025730183135,0.9960000000000001,0.005193420452842233,0.0016102468769949529,38337,0,1.0
gnn,10,5,0.99764,0.0017058288476866751,0.983,0.012871782471748047,0.0037474330830027124,38337,0,1.0
gnn,12,5,0.9913333333333334,0.0042386568656464126,0.9289999999999999,0.03984309546207469,0.007075412372996597,38337,0,1.0
gnn,14,5,0.9820204081632653,0.009007836734693903,0.8450000000000001,0.06699886207988907,0.01239217766800534,38337,0,1.0
gnn,16,5,0.97446875,0.0054618064548279345,0.7609999999999999,0.0485601673802717,0.020176402041997738,38337,0,1.0
gnn,20,5,0.95078,0.015119047639530737,0.543,0.07482337110823062,0.045411049209007584,38337,0,1.0
gnn,24,5,0.9182013888888889,0.025854159362758925,0.29500000000000004,0.06160593867477387,0.08676689604100099,38337,0,1.0
least_degree,6,5,0.985111111111111,0.005980959681861209,0.933,0.02691431856837541,7.71548760185393e-05,0,0,1.0
least_degree,8,5,0.8481875000000001,0.014687161859937365,0.35200000000000004,0.05799780878619469,0.0001378149739848086,0,0,1.0
least_degree,10,5,0.8069599999999999,0.014585390367953834,0.16599999999999998,0.06072400856333513,0.0002627229589961148,0,0,1.0
least_degree,12,5,0.7639722222222223,0.0037925812637272446,0.05,0.017556965569254842,0.0004508845239760809,0,0,1.0
least_degree,14,5,0.7336122448979593,0.006776260314514373,0.016999999999999998,0.009413874016577874,0.0007425369139563792,0,0,1.0
least_degree,16,5,0.70234375,0.0038546442716465316,0.003,0.008328,0.0011234403039761178,0,0,1.0
least_degree,20,5,0.65324,0.0032222532851406745,0.0,0.0,0.0024011179979860978,0,0,1.0
least_degree,24,5,0.6156597222222222,0.0025589389318212015,0.0,0.0,0.0049690496350339765,0,0,1.0
mlp,6,5,0.9834444444444443,0.004862282063414012,0.859,0.03734726035467665,0.0005453465429981928,37990,0,1.0
mlp,8,5,0.9836875,0.0015854141020566052,0.7939999999999999,0.024595422663577032,0.0014519580419982566,37990,0,1.0
mlp,10,5,0.97808,0.007238070662711143,0.683,0.048201784863218466,0.003228173208000915,37990,0,1.0
mlp,12,5,0.9763055555555555,0.0056449336227220905,0.619,0.08538174568372324,0.006240020915996823,37990,0,1.0
mlp,14,5,0.9712040816326531,0.005894641442949834,0.534,0.022121079901306826,0.010913721917002434,37990,0,1.0
mlp,16,5,0.9550468750000001,0.00461215167807418,0.442,0.05314427066015676,0.017756781749005253,37990,0,1.0
mlp,20,5,0.9398500000000001,0.015126461954072391,0.31799999999999995,0.04154736362273784,0.040220692625000026,37990,0,1.0
mlp,24,5,0.9154930555555556,0.010262243941107136,0.173,0.023880054941310333,0.07867256862299651,37990,0,1.0
random,6,5,0.899,0.01024620689587549,0.421,0.05927913845527783,6.53959659957761e-05,0,0,1.0
random,8,5,0.8576874999999999,0.012789668740823575,0.201,0.05712762498126453,0.0001215744979853721,0,0,1.0
random,10,5,0.8138400000000001,0.004115226892602687,0.057999999999999996,0.016771267811349265,0.0002258427950018309,0,0,1.0
random,12,5,0.7774444444444445,0.0032569747077484975,0.028000000000000004,0.023059187843460574,0.00038767911098688595,0,0,1.0
random,14,5,0.745,0.005748959935633948,0.003,0.005552,0.000638842580994554,0,0,1.0
random,16,5,0.717125,0.005451462768147652,0.001,0.002776,0.0009841263709967686,0,0,1.0
random,20,5,0.6694899999999999,0.004107964156805649,0.0,0.0,0.002060103432007914,0,0,1.0
random,24,5,0.6276041666666666,0.001907185153133608,0.0,0.0,0.004612865195986111,0,0,1.0
turan_oracle,6,5,1.0,0.0,1.0,0.0,2.5024409715115325e-06,0,0,1.0
turan_oracle,8,5,1.0,0.0,1.0,0.0,3.5606560104497473e-06,0,0,1.0
turan_oracle,10,5,1.0,0.0,1.0,0.0,5.075690029116231e-06,0,0,1.0
turan_oracle,12,5,1.0,0.0,1.0,0.0,6.678117002593354e-06,0,0,1.0
turan_oracle,14,5,1.0,0.0,1.0,0.0,8.587587006331888e-06,0,0,1.0
turan_oracle,16,5,1.0,0.0,1.0,0.0,1.0936482995020926e-05,0,0,1.0
turan_oracle,20,5,1.0,0.0,1.0,0.0,1.700374296888185e-05,0,0,1.0
turan_oracle,24,5,1.0,0.0,1.0,0.0,2.797194297818322e-05,0,0,1.0
untrained_gnn,6,5,0.9008888888888889,0.0126104371743566,0.429,0.059764643193112095,0.0005695114590034313,38337,0,1.0
untrained_gnn,8,5,0.8595625,0.00856411887616,0.21200000000000002,0.05631244466367981,0.001439898000999107,38337,0,1.0
untrained_gnn,10,5,0.8103200000000002,0.007272060380827451,0.066,0.02297548815585862,0.003155114960003576,38337,0,1.0
untrained_gnn,12,5,0.7747222222222222,0.00591548278192154,0.026000000000000002,0.014819784613819458,0.005775876501005731,38337,0,1.0
untrained_gnn,14,5,0.745061224489796,0.0069781072888315115,0.002,0.003399891762983051,0.010013759207999065,38337,0,1.0
untrained_gnn,16,5,0.714921875,0.00558805698775859,0.002,0.003399891762983051,0.015636584664996858,38337,0,1.0
untrained_gnn,20,5,0.66467,0.005500509331180138,0.0,0.0,0.03409807687599818,38337,0,1.0
