method,n,seed_count,optimality_ratio_mean,optimality_ratio_ci95,exact_optimum_rate_mean,exact_optimum_rate_ci95,mean_inference_time_seconds,constraint_violations,terminal_maximal_rate
gnn,6,5,1.0,0.0,1.0,0.0,0.0006071720389990904,0,1.0
gnn,8,5,0.999375,0.0007258025730183135,0.9960000000000001,0.005193420452842233,0.0015322076280062566,0,1.0
gnn,10,5,0.99764,0.0017058288476866751,0.983,0.012871782471748047,0.0034217631259961688,0,1.0
gnn,12,5,0.9913333333333334,0.0042386568656464126,0.9289999999999999,0.03984309546207469,0.006520777170000612,0,1.0
gnn,14,5,0.9820204081632653,0.009007836734693903,0.8450000000000001,0.06699886207988907,0.011448816374002444,0,1.0
gnn,16,5,0.97446875,0.0054618064548279345,0.7609999999999999,0.0485601673802717,0.01858291137401097,0,1.0
gnn,20,5,0.95078,0.015119047639530737,0.543,0.07482337110823062,0.04206368562399433,0,1.0
gnn,24,5,0.9182013888888889,0.025854159362758925,0.29500000000000004,0.06160593867477387,0.08046750983300074,0,1.0
least_degree,6,5,0.985111111111111,0.005980959681861209,0.933,0.02691431856837541,7.615647298734956e-05,0,1.0
least_degree,8,5,0.8481875000000001,0.014687161859937365,0.35200000000000004,0.05799780878619469,0.0001365243730578595,0,1.0
least_degree,10,5,0.8069599999999999,0.014585390367953834,0.16599999999999998,0.06072400856333513,0.000256363840984654,0,1.0
least_degree,12,5,0.7639722222222223,0.0037925812637272446,0.05,0.017556965569254842,0.00043866000504199054,0,1.0
least_degree,14,5,0.7336122448979593,0.006776260314514373,0.016999999999999998,0.009413874016577874,0.000717381991977115,0,1.0
least_degree,16,5,0.70234375,0.0038546442716465316,0.003,0.008328,0.0010986267510415442,0,1.0
least_degree,20,5,0.65324,0.0032222532851406745,0.0,0.0,0.0023284040380749,0,1.0
least_degree,24,5,0.6156597222222222,0.0025589389318212015,0.0,0.0,0.004427120386069823,0,1.0
random,6,5,0.899,0.01024620689587549,0.421,0.05927913845527783,6.459442309278518e-05,0,1.0
random,8,5,0.8576874999999999,0.012789668740823575,0.201,0.05712762498126453,0.0001210404080592954,0,1.0
random,10,5,0.8138400000000001,0.004115226892602687,0.057999999999999996,0.016771267811349265,0.0002233679909949791,0,1.0
random,12,5,0.7774444444444445,0.0032569747077484975,0.028000000000000004,0.023059187843460574,0.0003827725740265531,0,1.0
random,14,5,0.745,0.005748959935633948,0.003,0.005552,0.0006214952100562585,0,1.0
random,16,5,0.717125,0.005451462768147652,0.001,0.002776,0.000956070128966482,0,1.0
random,20,5,0.6694899999999999,0.004107964156805649,0.0,0.0,0.0020689254129865236,0,1.0
random,24,5,0.6276041666666666,0.001907185153133608,0.0,0.0,0.0037989581959736326,0,1.0
turan_oracle,6,5,1.0,0.0,1.0,0.0,2.406968076684279e-06,0,1.0
turan_oracle,8,5,1.0,0.0,1.0,0.0,3.4262940243934282e-06,0,1.0
turan_oracle,10,5,1.0,0.0,1.0,0.0,4.8680359832360406e-06,0,1.0
turan_oracle,12,5,1.0,0.0,1.0,0.0,6.401755035767564e-06,0,1.0
turan_oracle,14,5,1.0,0.0,1.0,0.0,8.29211103337002e-06,0,1.0
turan_oracle,16,5,1.0,0.0,1.0,0.0,1.0447487922647269e-05,0,1.0
turan_oracle,20,5,1.0,0.0,1.0,0.0,1.594931704676128e-05,0,1.0
turan_oracle,24,5,1.0,0.0,1.0,0.0,2.2229951024200997e-05,0,1.0
untrained_gnn,6,5,0.9008888888888889,0.0126104371743566,0.429,0.059764643193112095,0.0005347094160096544,0,1.0
untrained_gnn,8,5,0.8595625,0.00856411887616,0.21200000000000002,0.05631244466367981,0.0013424755849991375,0,1.0
untrained_gnn,10,5,0.8103200000000002,0.007272060380827451,0.066,0.02297548815585862,0.0029012488320040047,0,1.0
untrained_gnn,12,5,0.7747222222222222,0.00591548278192154,0.026000000000000002,0.014819784613819458,0.0053361415379949385,0,1.0
untrained_gnn,14,5,0.745061224489796,0.0069781072888315115,0.002,0.003399891762983051,0.009272157252991697,0,1.0
untrained_gnn,16,5,0.714921875,0.00558805698775859,0.002,0.003399891762983051,0.014494237123006255,0,1.0
untrained_gnn,20,5,0.66467,0.005500509331180138,0.0,0.0,0.0315290765820027,0,1.0
untrained_gnn,24,5,0.6295555555555555,0.0046124273937876905,0.0,0.0,0.059757554832012796,0,1.0
