n,method,mean_edges,max_edges,exact_runs,mean_seconds
20,polarity,44.0,45,0,0.0002473250002367
20,polarity_swap200,44.1,45,0,0.0070730038994952
24,polarity,58.7,59,7,0.0002334999004233
24,polarity_swap200,58.7,59,7,0.0093907667003804
30,polarity,85.0,85,10,0.0002310707997821
30,polarity_swap200,85.0,85,10,0.0138648333002493
35,polarity,100.3,101,0,0.0007392418003291
35,polarity_swap200,100.3,101,0,0.0238996749998477
40,polarity,124.1,125,0,0.0007526290988607
40,polarity_swap200,124.1,125,0,0.0297447707001992
