n,family,training_seed,edge_count,exact,seconds_per_graph
20,endpoint,0,39.95,0.0,0.02833706583998719
20,endpoint,1,40.42,0.0,0.028020817090000493
20,endpoint,2,40.28,0.0,0.030586231250017592
20,gnn,0,40.19,0.0,0.02715397750002012
20,gnn,1,41.27,0.0,0.036503088749996096
20,gnn,2,40.18,0.0,0.031600453749997544
24,endpoint,0,52.11,0.0,0.0514058033299807
24,endpoint,1,52.31,0.0,0.05016431832998933
24,endpoint,2,52.0,0.0,0.055524830000031215
24,gnn,0,51.86,0.0,0.050652563750009
24,gnn,1,53.7,0.0,0.06736676832999365
24,gnn,2,52.06,0.0,0.05891537083000003
30,endpoint,0,70.77,0.0,0.10633526458001143
30,endpoint,1,70.93,0.0,0.10864709249999578
30,endpoint,2,71.07,0.0,0.11791966624998168
30,gnn,0,71.29,0.0,0.10358638166002493
30,gnn,1,74.21,0.0,0.12053230040997732
30,gnn,2,70.93,0.0,0.11701673665997077
35,endpoint,0,87.68,0.0,0.1801119845800349
35,endpoint,1,88.11,0.0,0.18354147833000753
35,endpoint,2,87.73,0.0,0.19012011166003503
35,gnn,0,88.23,0.0,0.19825533457998973
35,gnn,1,92.14,0.0,0.19942954417001602
35,gnn,2,87.71,0.0,0.19341816500000278
40,endpoint,0,106.0,0.0,0.28680318540998995
40,endpoint,1,106.17,0.0,0.3078533654199782
40,endpoint,2,106.15,0.0,0.24991068375002215
40,gnn,0,106.13,0.0,0.3148831799999971
40,gnn,1,111.79,0.0,0.3185140970800057
40,gnn,2,105.99,0.0,0.2828113829100039
