n,comparison,metric,difference,ci95_low,ci95_high,seed_differences,planned_role,interval_note
14,gnn - endpoint,exact_optimum,0.061999999999999986,-0.1119216274205765,0.23592162742057649,"[-0.040000000000000036, 0.22999999999999998, 0.12, -0.12, 0.12]",secondary_exploratory,Five paired training seeds; secondary intervals unadjusted for multiplicity
14,gnn - endpoint,optimality_ratio,0.0019183673469388208,-0.009881243756961916,0.013717978450839557,"[0.0038775510204083208, 0.013061224489795853, 0.002448979591836764, -0.013265306122448917, 0.0034693877551020824]",secondary_exploratory,Five paired training seeds; secondary intervals unadjusted for multiplicity
14,gnn - endpoint,absolute_gap,-0.094,-0.672180944091138,0.4841809440911381,"[-0.18999999999999997, -0.64, -0.11999999999999997, 0.65, -0.17]",secondary_exploratory,Five paired training seeds; secondary intervals unadjusted for multiplicity
14,gnn - candidate,exact_optimum,0.774,0.5894969186806551,0.9585030813193449,"[0.83, 0.87, 0.83, 0.51, 0.83]",secondary_exploratory,Five paired training seeds; secondary intervals unadjusted for multiplicity
14,gnn - candidate,optimality_ratio,0.23167346938775518,0.2148777543952832,0.24846918438022716,"[0.22183673469387766, 0.22795918367346935, 0.2528571428571429, 0.2193877551020409, 0.23632653061224507]",secondary_exploratory,Five paired training seeds; secondary intervals unadjusted for multiplicity
14,gnn - candidate,absolute_gap,-11.352,-12.174990034631128,-10.529009965368873,"[-10.87, -11.17, -12.39, -10.75, -11.58]",secondary_exploratory,Five paired training seeds; secondary intervals unadjusted for multiplicity
14,gnn - mlp,exact_optimum,0.764,0.5770068859369575,0.9509931140630425,"[0.82, 0.88, 0.82, 0.5, 0.7999999999999999]",secondary_exploratory,Five paired training seeds; secondary intervals unadjusted for multiplicity
14,gnn - mlp,optimality_ratio,0.23893877551020415,0.22569461271712316,0.25218293830328514,"[0.23857142857142866, 0.24530612244897954, 0.2510204081632653, 0.2371428571428572, 0.2226530612244899]",secondary_exploratory,Five paired training seeds; secondary intervals unadjusted for multiplicity
14,gnn - mlp,absolute_gap,-11.708000000000002,-12.356963976860975,-11.05903602313903,"[-11.69, -12.020000000000001, -12.3, -11.620000000000001, -10.91]",secondary_exploratory,Five paired training seeds; secondary intervals unadjusted for multiplicity
24,gnn - endpoint,exact_optimum,0.15399999999999997,-0.07988151296707205,0.38788151296707196,"[0.08999999999999997, 0.41, 0.19, -0.10999999999999999, 0.18999999999999995]",primary,Five paired training seeds; secondary intervals unadjusted for multiplicity
24,gnn - endpoint,optimality_ratio,0.008333333333333281,-0.014455234377402882,0.031121901044069443,"[0.010347222222222285, 0.02763888888888888, 0.011458333333333237, -0.022083333333333455, 0.01430555555555546]",secondary_exploratory,Five paired training seeds; secondary intervals unadjusted for multiplicity
24,gnn - endpoint,absolute_gap,-1.2,-4.481553750346,2.081553750346001,"[-1.49, -3.98, -1.65, 3.1799999999999997, -2.06]",secondary_exploratory,Five paired training seeds; secondary intervals unadjusted for multiplicity
24,gnn - candidate,exact_optimum,0.64,0.3974778776457515,0.8825221223542485,"[0.72, 0.82, 0.64, 0.31, 0.71]",secondary_exploratory,Five paired training seeds; secondary intervals unadjusted for multiplicity
24,gnn - candidate,optimality_ratio,0.3562638888888889,0.3404538821595553,0.37207389561822246,"[0.3506250000000001, 0.36375, 0.3628472222222222, 0.33652777777777776, 0.3675694444444444]",secondary_exploratory,Five paired training seeds; secondary intervals unadjusted for multiplicity
24,gnn - candidate,absolute_gap,-51.302,-53.57864096902404,-49.025359030975956,"[-50.489999999999995, -52.38, -52.25, -48.459999999999994, -52.93]",secondary_exploratory,Five paired training seeds; secondary intervals unadjusted for multiplicity
24,gnn - mlp,exact_optimum,0.64,0.3974778776457515,0.8825221223542485,"[0.72, 0.82, 0.64, 0.31, 0.71]",secondary_exploratory,Five paired training seeds; secondary intervals unadjusted for multiplicity
24,gnn - mlp,optimality_ratio,0.35623611111111114,0.34232400561619836,0.3701482166060239,"[0.3602777777777779, 0.36687500000000006, 0.3618055555555555, 0.3378472222222222, 0.354375]",secondary_exploratory,Five paired training seeds; secondary intervals unadjusted for multiplicity
24,gnn - mlp,absolute_gap,-51.298,-53.301343191267435,-49.29465680873257,"[-51.879999999999995, -52.83, -52.1, -48.650000000000006, -51.03]",secondary_exploratory,Five paired training seeds; secondary intervals unadjusted for multiplicity
40,gnn - endpoint,exact_optimum,0.3,0.08728008939410983,0.5127199106058902,"[0.3, 0.43999999999999995, 0.41, 0.010000000000000009, 0.33999999999999997]",secondary_exploratory,Five paired training seeds; secondary intervals unadjusted for multiplicity
40,gnn - endpoint,optimality_ratio,0.021680000000000012,-0.03217644863127666,0.07553644863127668,"[0.029325000000000045, 0.059699999999999975, 0.03159999999999996, -0.05289999999999995, 0.04067500000000002]",secondary_exploratory,Five paired training seeds; secondary intervals unadjusted for multiplicity
40,gnn - endpoint,absolute_gap,-8.672,-30.214579452510684,12.870579452510682,"[-11.73, -23.88, -12.64, 21.16, -16.27]",secondary_exploratory,Five paired training seeds; secondary intervals unadjusted for multiplicity
40,gnn - candidate,exact_optimum,0.46399999999999997,0.24775787814830208,0.6802421218516979,"[0.48, 0.59, 0.6, 0.17, 0.48]",secondary_exploratory,Five paired training seeds; secondary intervals unadjusted for multiplicity
40,gnn - candidate,optimality_ratio,0.44704,0.4079156459487919,0.48616435405120806,"[0.45650000000000013, 0.46182500000000004, 0.4584499999999999, 0.39115, 0.467275]",secondary_exploratory,Five paired training seeds; secondary intervals unadjusted for multiplicity
40,gnn - candidate,absolute_gap,-178.816,-194.46574162048321,-163.1662583795168,"[-182.6, -184.73, -183.38, -156.45999999999998, -186.91]",secondary_exploratory,Five paired training seeds; secondary intervals unadjusted for multiplicity
