method,n,seed,optimality_ratio,exact_optimum,absolute_gap,inference_time_seconds,first_loss_step,first_odd_cycle_step,parameter_count,exact_rate,unbalanced_bipartite_rate,nonbipartite_rate,odd_cycle_first_loss_rate,partition_imbalance_first_loss_rate
candidate,14,301,0.7746938775510204,0.0,11.04,0.006109369579971776,13.76,14.60204081632653,449.0,0.0,0.02,0.98,0.74,0.26
candidate,14,302,0.769795918367347,0.02,11.28,0.006310337500035476,13.561224489795919,15.03125,449.0,0.02,0.02,0.96,0.67,0.31
candidate,14,303,0.7436734693877551,0.0,12.56,0.0076727387400023364,12.94,13.717171717171718,449.0,0.0,0.01,0.99,0.73,0.27
candidate,14,304,0.759795918367347,0.0,11.77,0.0058344895800473365,13.45,14.31578947368421,449.0,0.0,0.05,0.95,0.66,0.34
candidate,14,305,0.760204081632653,0.0,11.75,0.005823656669999748,13.42,14.377551020408163,449.0,0.0,0.02,0.98,0.7,0.3
candidate,24,301,0.6472222222222223,0.0,50.8,0.03851945665999661,19.43,19.57,449.0,0.0,0.0,1.0,0.95,0.05
candidate,24,302,0.635,0.0,52.56,0.03568429375998669,19.79,20.01,449.0,0.0,0.0,1.0,0.94,0.06
candidate,24,303,0.6334027777777778,0.0,52.79,0.03972830874998175,19.24,19.53,449.0,0.0,0.0,1.0,0.92,0.08
candidate,24,304,0.6298611111111111,0.0,53.3,0.0345622045799973,20.24,20.46,449.0,0.0,0.0,1.0,0.89,0.11
candidate,24,305,0.6302083333333334,0.0,53.25,0.033754118750039114,19.63,19.95,449.0,0.0,0.0,1.0,0.89,0.11
candidate,40,301,0.533875,0.0,186.45,0.2052665745800186,29.28,29.34,449.0,0.0,0.0,1.0,0.98,0.02
candidate,40,302,0.5331,0.0,186.76,0.21014298084999605,30.08,30.14,449.0,0.0,0.0,1.0,0.98,0.02
candidate,40,303,0.535,0.0,186.0,0.20014476541997275,29.96,29.96,449.0,0.0,0.0,1.0,1.0,0.0
candidate,40,304,0.530675,0.0,187.73,0.1932981741600451,30.59,30.62,449.0,0.0,0.0,1.0,0.98,0.02
candidate,40,305,0.5275500000000001,0.0,188.98,0.16808351750994913,29.31,29.34,449.0,0.0,0.0,1.0,0.98,0.02
endpoint,14,301,0.9926530612244897,0.87,0.36,0.008634432079961623,14.923076923076923,17.75,13185.0,0.87,0.09,0.04,0.03,0.1
endpoint,14,302,0.9846938775510204,0.66,0.75,0.008990119169975476,38.85294117647059,32.42857142857143,13185.0,0.66,0.27,0.07,0.05,0.29
endpoint,14,303,0.9940816326530613,0.71,0.29,0.010226345000009985,33.13793103448276,,13185.0,0.71,0.29,0.0,0.0,0.29
endpoint,14,304,0.9924489795918368,0.63,0.37,0.009373138749979215,27.486486486486488,,13185.0,0.63,0.37,0.0,0.0,0.37
endpoint,14,305,0.993061224489796,0.71,0.34,0.010129687919979848,20.413793103448278,7.0,13185.0,0.71,0.28,0.01,0.01,0.28
