method,n,metric,mean,ci95_halfwidth,seed_count
candidate,14,optimality_ratio,0.7616326530612245,0.014759373977161339,5
candidate,14,exact_optimum,0.004,0.011105780420791196,5
candidate,14,absolute_gap,11.680000000000001,0.7232093248809073,5
candidate,14,inference_time_seconds,0.006350118414011334,0.0009521025193523516,5
candidate,14,first_loss_step,13.426244897959183,0.37592357369052803,5
candidate,14,first_odd_cycle_step,14.408760605518125,0.5931344398115872,5
candidate,14,parameter_count,449.0,0.0,5
candidate,14,exact_rate,0.004,0.011105780420791196,5
candidate,14,unbalanced_bipartite_rate,0.024,0.01883076688348442,5
candidate,14,nonbipartite_rate,0.9719999999999999,0.020402621419747725,5
candidate,14,odd_cycle_first_loss_rate,0.7,0.0438994516542542,5
candidate,14,partition_imbalance_first_loss_rate,0.29600000000000004,0.0398494839234892,5
candidate,24,optimality_ratio,0.6351388888888889,0.008806313876884114,5
candidate,24,exact_optimum,0.0,0.0,5
candidate,24,absolute_gap,52.54,1.2681091982713109,5
candidate,24,inference_time_seconds,0.03644967650000029,0.0031927798007327824,5
candidate,24,first_loss_step,19.665999999999997,0.4741628525255946,5
candidate,24,first_odd_cycle_step,19.904,0.4703268506334568,5
candidate,24,parameter_count,449.0,0.0,5
candidate,24,exact_rate,0.0,0.0,5
candidate,24,unbalanced_bipartite_rate,0.0,0.0,5
candidate,24,nonbipartite_rate,1.0,0.0,5
candidate,24,odd_cycle_first_loss_rate,0.9179999999999999,0.0344547776515134,5
candidate,24,partition_imbalance_first_loss_rate,0.08199999999999999,0.03445477765151343,5
candidate,40,optimality_ratio,0.5320400000000001,0.003687331821946934,5
candidate,40,exact_optimum,0.0,0.0,5
candidate,40,absolute_gap,187.18400000000003,1.474932728778781,5
candidate,40,inference_time_seconds,0.19538720250399633,0.02047639696276645,5
candidate,40,first_loss_step,29.844,0.6882336445590816,5
candidate,40,first_odd_cycle_step,29.880000000000003,0.6814461979583804,5
candidate,40,parameter_count,449.0,0.0,5
candidate,40,exact_rate,0.0,0.0,5
candidate,40,unbalanced_bipartite_rate,0.0,0.0,5
candidate,40,nonbipartite_rate,1.0,0.0,5
candidate,40,odd_cycle_first_loss_rate,0.984,0.011105780420791203,5
candidate,40,partition_imbalance_first_loss_rate,0.016,0.011105780420791196,5
endpoint,14,optimality_ratio,0.9913877551020407,0.0047114837630022445,5
endpoint,14,exact_optimum,0.716,0.11501321218214634,5
