method,seed,iterations,training_rollouts,training_actions,elite_prefix_pairs,optimizer_updates,optimizer_pair_presentations,validation_episodes,selected_step,selected_validation_score,wall_seconds,checkpoint_sha256
gnn,0,100,25600,1186314,62400,800,204800,2000,75,0.9987755102040816,278.23630954401233,7469984645c53ab026dc4af7896c72c9c1e7305e72e7f67363014cdb3484b5d6
gnn,1,100,25600,1197212,62400,800,204800,2000,90,0.9989795918367347,309.475929335018,2dc1e1b5a24bce19cdc7c8ea0a655ecbf72939a9bb23a7a8fd4b75fcb8753153
gnn,2,100,25600,1217962,62400,800,204800,2000,90,0.9987755102040816,325.3107899219722,415e7b7965a781aafe647bb33e1ebe24ac010da838aeb3346db4f58bba925939
gnn,3,100,25600,1141948,62400,800,204800,2000,70,0.980204081632653,333.9094934190143,0d7bd094ff64633a29a953387844434e49351d40a142fc1d7fc7e2a4d48dc3cc
gnn,4,100,25600,1212363,62400,800,204800,2000,100,0.9975510204081632,317.8271830480189,6689ea1fd3e75d9ad1598d969fdbbc3d81a2d986ca9ac0eaa0a707b53d32dc4c
endpoint,0,100,25600,1199378,62400,800,204800,2000,75,0.9983673469387755,251.16682383599255,904451d3cea964d92b4135964af087eabce37c6c5119b0ce710bf7e444abc097
endpoint,1,100,25600,1179651,62400,800,204800,2000,75,0.9851020408163265,276.8893594559959,d61b0d36b1cfe18767778423a581a903cf657f5cc1f4a81b11e49d6375b219c1
endpoint,2,100,25600,1183678,62400,800,204800,2000,100,0.9938775510204081,286.7323937079891,93917dc9a1fedc70cc832339dd0837deb0af15028dc484bbc86af70e71277c07
endpoint,3,100,25600,1195652,62400,800,204800,2000,80,0.9942857142857143,317.68655466501514,14bc91bdf34d9daa4a07d126c527872afd22c175baf2003042e716f13377e864
endpoint,4,100,25600,1185667,62400,800,204800,2000,90,0.9944897959183673,281.9474376209837,9f63adfc6a0c0f56dd217ea73bf614b353db3c8e23443e1e293ddff717a1e01e
candidate,0,100,25600,942398,62400,800,204800,2000,100,0.7738775510204081,166.01736837099452,34fa4280d57b4cbdd7cd34a3973397baaa5220358190208681b17d5304fd6381
candidate,1,100,25600,939129,62400,800,204800,2000,100,0.773061224489796,186.4693238280015,ee746d69a0b17e415f13872687a48b87571d911b87405f8ba0e3db0ab634f639
candidate,2,100,25600,939773,62400,800,204800,2000,95,0.7718367346938776,190.22106658101256,f1a186b51dd65993aef6eec6b00db93c60974aa4973a581cc1f10d62d86fd633
candidate,3,100,25600,937425,62400,800,204800,2000,60,0.7661224489795919,210.32134587303517,6ebbd2c0ed27710891904cf7b32cd7abeacee647ae9c3a43cc450fd51c2a7ef5
candidate,4,100,25600,935484,62400,800,204800,2000,35,0.753061224489796,209.71508258401445,e9308a7585ad8d04d9893ec0b48987ca0ccb59acd88a4b2526c1a56b2ec35735
mlp,0,100,25600,936349,62400,800,204800,2000,100,0.7640816326530612,178.0817912890052,bf5eb566203891d8a7df8e2deede97b6c391952b75b2aa2ea10579c8be288793
mlp,1,100,25600,935502,62400,800,204800,2000,100,0.7614285714285713,207.82713174599485,8c23e688164eeb8ddf64f5d8280d70c60d4d076bcccba9fc2832ef4c714643f0
mlp,2,100,25600,935609,62400,800,204800,2000,15,0.7520408163265305,204.30897608300074,a49538d76581886918125fa0ad409267c1b065247896a936e0141dab3fcd4a89
mlp,3,100,25600,934304,62400,800,204800,2000,95,0.7540816326530612,224.71204846203545,9c6d4e2f71c2460689fe3e9b764bbef458ec85d1eea189be95bd4338caf63fd4
mlp,4,100,25600,939945,62400,800,204800,2000,95,0.7720408163265305,220.99560579797253,425bf6b8179ece088b4691d8b6f2f33acc51382fd7497bc34562c85bd70269f9
