n,comparison,metric,difference,ci95_low,ci95_high,seed_differences,planned_role,interval_note
15,gnn_parity - endpoint_parity,exact_optimum,0.008000000000000007,-0.008189317847087069,0.024189317847087083,"[0.030000000000000027, 0.0, 0.0, 0.0, 0.010000000000000009]",secondary_exploratory,Five paired seed means; secondary intervals unadjusted for multiplicity
15,gnn_parity - endpoint_parity,optimality_ratio,0.0002857142857143113,-0.00029247563739596635,0.000863904208824589,"[0.001071428571428612, 0.0, 0.0, 0.0, 0.0003571428571429447]",secondary_exploratory,Five paired seed means; secondary intervals unadjusted for multiplicity
15,gnn_parity - endpoint_parity,absolute_gap,-0.016,-0.04837863569417413,0.01637863569417413,"[-0.06, 0.0, 0.0, 0.0, -0.02]",secondary_exploratory,Five paired seed means; secondary intervals unadjusted for multiplicity
15,gnn_parity - candidate_parity,exact_optimum,0.042000000000000016,0.008682658737626456,0.07531734126237358,"[0.030000000000000027, 0.07999999999999996, 0.06000000000000005, 0.020000000000000018, 0.020000000000000018]",secondary_exploratory,Five paired seed means; secondary intervals unadjusted for multiplicity
15,gnn_parity - candidate_parity,optimality_ratio,0.001499999999999968,0.00031009495491521885,0.002689905045084717,"[0.001071428571428612, 0.0028571428571427804, 0.002142857142857113, 0.0007142857142856673, 0.0007142857142856673]",secondary_exploratory,Five paired seed means; secondary intervals unadjusted for multiplicity
15,gnn_parity - candidate_parity,absolute_gap,-0.08399999999999999,-0.15063468252474715,-0.01736531747525283,"[-0.06, -0.16, -0.12, -0.04, -0.04]",secondary_exploratory,Five paired seed means; secondary intervals unadjusted for multiplicity
15,gnn_parity - balance_parity,exact_optimum,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",secondary_exploratory,Five paired seed means; secondary intervals unadjusted for multiplicity
15,gnn_parity - balance_parity,optimality_ratio,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",secondary_exploratory,Five paired seed means; secondary intervals unadjusted for multiplicity
15,gnn_parity - balance_parity,absolute_gap,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",secondary_exploratory,Five paired seed means; secondary intervals unadjusted for multiplicity
15,gnn_parity - uniform_parity,exact_optimum,0.31,0.2707351367704488,0.3492648632295512,"[0.29000000000000004, 0.32999999999999996, 0.31000000000000005, 0.35, 0.27]",secondary_exploratory,Five paired seed means; secondary intervals unadjusted for multiplicity
15,gnn_parity - uniform_parity,optimality_ratio,0.0132857142857143,0.012095809240629517,0.014475619330799083,"[0.014285714285714346, 0.013214285714285734, 0.013928571428571401, 0.013214285714285734, 0.011785714285714288]",secondary_exploratory,Five paired seed means; secondary intervals unadjusted for multiplicity
15,gnn_parity - uniform_parity,absolute_gap,-0.7440000000000001,-0.8106346825247472,-0.677365317475253,"[-0.8, -0.74, -0.78, -0.74, -0.66]",secondary_exploratory,Five paired seed means; secondary intervals unadjusted for multiplicity
24,gnn_parity - endpoint_parity,exact_optimum,0.172,0.0801672156587777,0.26383278434122226,"[0.20000000000000007, 0.22999999999999998, 0.12, 0.06999999999999995, 0.24]",secondary_exploratory,Five paired seed means; secondary intervals unadjusted for multiplicity
24,gnn_parity - endpoint_parity,optimality_ratio,0.0014027777777777528,0.0005037846559504284,0.0023017708996050774,"[0.0022222222222221255, 0.0015972222222222499, 0.0008333333333332416, 0.0004861111111110761, 0.001875000000000071]",secondary_exploratory,Five paired seed means; secondary intervals unadjusted for multiplicity
24,gnn_parity - endpoint_parity,absolute_gap,-0.202,-0.331455009543132,-0.07254499045686802,"[-0.32000000000000006, -0.22999999999999998, -0.12000000000000001, -0.07, -0.27]",secondary_exploratory,Five paired seed means; secondary intervals unadjusted for multiplicity
24,gnn_parity - candidate_parity,exact_optimum,0.35600000000000004,0.22888853318098093,0.4831114668190192,"[0.20000000000000007, 0.44999999999999996, 0.42999999999999994, 0.30999999999999994, 0.39]",secondary_exploratory,Five paired seed means; secondary intervals unadjusted for multiplicity
24,gnn_parity - candidate_parity,optimality_ratio,0.0029722222222222207,0.0018083219138716258,0.004136122530572816,"[0.0018055555555555047, 0.003541666666666665, 0.0034027777777777546, 0.00215277777777767, 0.003958333333333508]",secondary_exploratory,Five paired seed means; secondary intervals unadjusted for multiplicity
