method,n,seed,optimality_ratio,exact_optimum,absolute_gap,inference_time_seconds,first_loss_step,first_odd_cycle_step,parameter_count,exact_rate,unbalanced_bipartite_rate,nonbipartite_rate,odd_cycle_first_loss_rate,partition_imbalance_first_loss_rate
balance_parity,15,0,1.0,1.0,0.0,0.006790264599985628,,,0.0,1.0,0.0,0.0,0.0,0.0
balance_parity,15,1,1.0,1.0,0.0,0.006377143340014224,,,0.0,1.0,0.0,0.0,0.0,0.0
balance_parity,15,2,1.0,1.0,0.0,0.0062949079099962205,,,0.0,1.0,0.0,0.0,0.0,0.0
balance_parity,15,3,1.0,1.0,0.0,0.006512063739992255,,,0.0,1.0,0.0,0.0,0.0,0.0
balance_parity,15,4,1.0,1.0,0.0,0.007628605410009156,,,0.0,1.0,0.0,0.0,0.0,0.0
balance_parity,24,0,1.0,1.0,0.0,0.027511109179995358,,,0.0,1.0,0.0,0.0,0.0,0.0
balance_parity,24,1,1.0,1.0,0.0,0.026840751259987847,,,0.0,1.0,0.0,0.0,0.0,0.0
balance_parity,24,2,1.0,1.0,0.0,0.027449975419985936,,,0.0,1.0,0.0,0.0,0.0,0.0
balance_parity,24,3,1.0,1.0,0.0,0.03205382250002,,,0.0,1.0,0.0,0.0,0.0,0.0
balance_parity,24,4,1.0,1.0,0.0,0.03214149000001267,,,0.0,1.0,0.0,0.0,0.0,0.0
balance_parity,30,0,1.0,1.0,0.0,0.06047446625001604,,,0.0,1.0,0.0,0.0,0.0,0.0
balance_parity,30,1,1.0,1.0,0.0,0.05973936706999664,,,0.0,1.0,0.0,0.0,0.0,0.0
balance_parity,30,2,1.0,1.0,0.0,0.06057240789998101,,,0.0,1.0,0.0,0.0,0.0,0.0
balance_parity,30,3,1.0,1.0,0.0,0.07060631250000364,,,0.0,1.0,0.0,0.0,0.0,0.0
balance_parity,30,4,1.0,1.0,0.0,0.06366499124998876,,,0.0,1.0,0.0,0.0,0.0,0.0
balance_parity,40,0,1.0,1.0,0.0,0.1696394937499826,,,0.0,1.0,0.0,0.0,0.0,0.0
balance_parity,40,1,1.0,1.0,0.0,0.18429655334000924,,,0.0,1.0,0.0,0.0,0.0,0.0
balance_parity,40,2,1.0,1.0,0.0,0.1898791404200164,,,0.0,1.0,0.0,0.0,0.0,0.0
balance_parity,40,3,1.0,1.0,0.0,0.16167214456998405,,,0.0,1.0,0.0,0.0,0.0,0.0
balance_parity,40,4,1.0,1.0,0.0,0.14028581292999653,,,0.0,1.0,0.0,0.0,0.0,0.0
candidate_parity,15,0,0.9989285714285714,0.97,0.06,0.010938871679973023,16.0,,449.0,0.97,0.03,0.0,0.0,0.03
candidate_parity,15,1,0.9971428571428572,0.92,0.16,0.010546049169988681,17.25,,449.0,0.92,0.08,0.0,0.0,0.08
candidate_parity,15,2,0.9978571428571429,0.94,0.12,0.010634926660004516,15.833333333333334,,449.0,0.94,0.06,0.0,0.0,0.06
candidate_parity,15,3,0.9992857142857143,0.98,0.04,0.011640027090015761,22.5,,449.0,0.98,0.02,0.0,0.0,0.02
candidate_parity,15,4,0.9992857142857143,0.98,0.04,0.010543670419992789,16.5,,449.0,0.98,0.02,0.0,0.0,0.02
candidate_parity,24,0,0.9965972222222222,0.57,0.49,0.06234352207999103,28.813953488372093,,449.0,0.57,0.43,0.0,0.0,0.43
candidate_parity,24,1,0.9963888888888889,0.54,0.52,0.06211772250000646,28.47826086956522,,449.0,0.54,0.46,0.0,0.0,0.46
candidate_parity,24,2,0.99625,0.52,0.54,0.06305623624000868,27.375,,449.0,0.52,0.48,0.0,0.0,0.48
candidate_parity,24,3,0.9967361111111112,0.53,0.47,0.06271473750999573,33.38297872340426,,449.0,0.53,0.47,0.0,0.0,0.47
candidate_parity,24,4,0.9952083333333333,0.49,0.69,0.06355877459000105,28.941176470588236,,449.0,0.49,0.51,0.0,0.0,0.51
candidate_parity,30,0,0.9968888888888889,0.54,0.7,0.1474180754299959,36.5,,449.0,0.54,0.46,0.0,0.0,0.46
candidate_parity,30,1,0.9973777777777778,0.56,0.59,0.14829977041999876,36.86363636363637,,449.0,0.56,0.44,0.0,0.0,0.44
candidate_parity,30,2,0.9968444444444445,0.41,0.71,0.1502214545700008,35.559322033898304,,449.0,0.41,0.59,0.0,0.0,0.59
candidate_parity,30,3,0.9968,0.49,0.72,0.15049508749001686,42.470588235294116,,449.0,0.49,0.51,0.0,0.0,0.51
candidate_parity,30,4,0.9953777777777778,0.4,1.04,0.15606041125000045,36.266666666666666,,449.0,0.4,0.6,0.0,0.0,0.6
candidate_parity,40,0,0.9975499999999999,0.4,0.98,0.4588874508399931,53.21666666666667,,449.0,0.4,0.6,0.0,0.0,0.6
candidate_parity,40,1,0.997625,0.38,0.95,0.46183722666000904,51.193548387096776,,449.0,0.38,0.62,0.0,0.0,0.62
candidate_parity,40,2,0.9976,0.42,0.96,0.4731501529099841,50.46551724137931,,449.0,0.42,0.58,0.0,0.0,0.58
candidate_parity,40,3,0.997525,0.34,0.99,0.47673103376000653,59.96969696969697,,449.0,0.34,0.66,0.0,0.0,0.66
candidate_parity,40,4,0.9969,0.26,1.24,0.4778628066699821,53.108108108108105,,449.0,0.26,0.74,0.0,0.0,0.74
endpoint_parity,15,0,0.9989285714285714,0.97,0.06,0.01074253000000675,16.0,,13185.0,0.97,0.03,0.0,0.0,0.03
endpoint_parity,15,1,1.0,1.0,0.0,0.012346224579996427,,,13185.0,1.0,0.0,0.0,0.0,0.0
endpoint_parity,15,2,1.0,1.0,0.0,0.01204442459000342,,,13185.0,1.0,0.0,0.0,0.0,0.0
endpoint_parity,15,3,1.0,1.0,0.0,0.011600786660019312,,,13185.0,1.0,0.0,0.0,0.0,0.0
endpoint_parity,15,4,0.999642857142857,0.99,0.02,0.012072317909987716,16.0,,13185.0,0.99,0.01,0.0,0.0,0.01
endpoint_parity,24,0,0.9961805555555556,0.57,0.55,0.0630799699999988,30.6046511627907,,13185.0,0.57,0.43,0.0,0.0,0.43
endpoint_parity,24,1,0.9983333333333333,0.76,0.24,0.07105019875998547,133.0,,13185.0,0.76,0.24,0.0,0.0,0.24
endpoint_parity,24,2,0.9988194444444445,0.83,0.17,0.06815774042002884,66.94117647058823,,13185.0,0.83,0.17,0.0,0.0,0.17
