method,n,metric,mean,ci95_halfwidth,seed_count
balance_parity,15,optimality_ratio,1.0,0.0,5
balance_parity,15,exact_optimum,1.0,0.0,5
balance_parity,15,absolute_gap,0.0,0.0,5
balance_parity,15,inference_time_seconds,0.006720596999999497,0.0006721034967277391,5
balance_parity,15,first_loss_step,,,0
balance_parity,15,first_odd_cycle_step,,,0
balance_parity,15,parameter_count,0.0,0.0,5
balance_parity,15,exact_rate,1.0,0.0,5
balance_parity,15,unbalanced_bipartite_rate,0.0,0.0,5
balance_parity,15,nonbipartite_rate,0.0,0.0,5
balance_parity,15,odd_cycle_first_loss_rate,0.0,0.0,5
balance_parity,15,partition_imbalance_first_loss_rate,0.0,0.0,5
balance_parity,24,optimality_ratio,1.0,0.0,5
balance_parity,24,exact_optimum,1.0,0.0,5
balance_parity,24,absolute_gap,0.0,0.0,5
balance_parity,24,inference_time_seconds,0.029199429672000364,0.0033013822228941995,5
balance_parity,24,first_loss_step,,,0
balance_parity,24,first_odd_cycle_step,,,0
balance_parity,24,parameter_count,0.0,0.0,5
balance_parity,24,exact_rate,1.0,0.0,5
balance_parity,24,unbalanced_bipartite_rate,0.0,0.0,5
balance_parity,24,nonbipartite_rate,0.0,0.0,5
balance_parity,24,odd_cycle_first_loss_rate,0.0,0.0,5
balance_parity,24,partition_imbalance_first_loss_rate,0.0,0.0,5
balance_parity,30,optimality_ratio,1.0,0.0,5
balance_parity,30,exact_optimum,1.0,0.0,5
balance_parity,30,absolute_gap,0.0,0.0,5
balance_parity,30,inference_time_seconds,0.06301150899399721,0.005594409160641225,5
balance_parity,30,first_loss_step,,,0
balance_parity,30,first_odd_cycle_step,,,0
balance_parity,30,parameter_count,0.0,0.0,5
balance_parity,30,exact_rate,1.0,0.0,5
balance_parity,30,unbalanced_bipartite_rate,0.0,0.0,5
balance_parity,30,nonbipartite_rate,0.0,0.0,5
balance_parity,30,odd_cycle_first_loss_rate,0.0,0.0,5
balance_parity,30,partition_imbalance_first_loss_rate,0.0,0.0,5
balance_parity,40,optimality_ratio,1.0,0.0,5
balance_parity,40,exact_optimum,1.0,0.0,5
balance_parity,40,absolute_gap,0.0,0.0,5
balance_parity,40,inference_time_seconds,0.16915462900199776,0.024429675698284956,5
balance_parity,40,first_loss_step,,,0
balance_parity,40,first_odd_cycle_step,,,0
balance_parity,40,parameter_count,0.0,0.0,5
balance_parity,40,exact_rate,1.0,0.0,5
balance_parity,40,unbalanced_bipartite_rate,0.0,0.0,5
balance_parity,40,nonbipartite_rate,0.0,0.0,5
balance_parity,40,odd_cycle_first_loss_rate,0.0,0.0,5
balance_parity,40,partition_imbalance_first_loss_rate,0.0,0.0,5
candidate_parity,15,optimality_ratio,0.9985000000000002,0.001189905045084749,5
candidate_parity,15,exact_optimum,0.958,0.03331734126237356,5
candidate_parity,15,absolute_gap,0.08399999999999999,0.06663468252474716,5
candidate_parity,15,inference_time_seconds,0.010860709003994953,0.0005770559208040683,5
candidate_parity,15,first_loss_step,17.616666666666667,3.457884999269999,5
candidate_parity,15,first_odd_cycle_step,,,0
candidate_parity,15,parameter_count,449.0,0.0,5
candidate_parity,15,exact_rate,0.958,0.03331734126237356,5
candidate_parity,15,unbalanced_bipartite_rate,0.041999999999999996,0.03331734126237358,5
candidate_parity,15,nonbipartite_rate,0.0,0.0,5
candidate_parity,15,odd_cycle_first_loss_rate,0.0,0.0,5
candidate_parity,15,partition_imbalance_first_loss_rate,0.041999999999999996,0.03331734126237358,5
candidate_parity,24,optimality_ratio,0.9962361111111111,0.0007502215528336328,5
candidate_parity,24,exact_optimum,0.53,0.03620041521543721,5
candidate_parity,24,absolute_gap,0.542,0.10803190360803466,5
candidate_parity,24,inference_time_seconds,0.06275819858400059,0.0007116054987117728,5
candidate_parity,24,first_loss_step,29.39827391038596,2.8698493649010426,5
candidate_parity,24,first_odd_cycle_step,,,0
candidate_parity,24,parameter_count,449.0,0.0,5
candidate_parity,24,exact_rate,0.53,0.03620041521543721,5
candidate_parity,24,unbalanced_bipartite_rate,0.47000000000000003,0.03620041521543722,5
candidate_parity,24,nonbipartite_rate,0.0,0.0,5
candidate_parity,24,odd_cycle_first_loss_rate,0.0,0.0,5
candidate_parity,24,partition_imbalance_first_loss_rate,0.47000000000000003,0.03620041521543722,5
candidate_parity,30,optimality_ratio,0.9966577777777779,0.0009344055673642114,5
candidate_parity,30,exact_optimum,0.48,0.09081989177338406,5
candidate_parity,30,absolute_gap,0.752,0.21024125265694618,5
candidate_parity,30,inference_time_seconds,0.15049895983200257,0.004180142982798696,5
candidate_parity,30,first_loss_step,37.53204265989909,3.478538616243367,5
candidate_parity,30,first_odd_cycle_step,,,0
candidate_parity,30,parameter_count,449.0,0.0,5
candidate_parity,30,exact_rate,0.48,0.09081989177338406,5
candidate_parity,30,unbalanced_bipartite_rate,0.52,0.09081989177338402,5
candidate_parity,30,nonbipartite_rate,0.0,0.0,5
candidate_parity,30,odd_cycle_first_loss_rate,0.0,0.0,5
candidate_parity,30,partition_imbalance_first_loss_rate,0.52,0.09081989177338402,5
