n,comparison,metric,difference,ci95_low,ci95_high,seed_differences,interpretation
14,gnn - mlp,optimality_ratio,0.23171428571428576,0.21171680265403636,0.25171176877453516,"[0.20673469387755106, 0.2506122448979592, 0.22897959183673477, 0.23387755102040808, 0.2383673469387756]",descriptive unadjusted interval; multiple comparisons
14,gnn - mlp,exact_optimum,0.8119999999999999,0.6700478800384784,0.9539521199615215,"[0.61, 0.89, 0.84, 0.86, 0.86]",descriptive unadjusted interval; multiple comparisons
14,gnn - candidate,optimality_ratio,0.23053061224489796,0.20570728930903845,0.2553539351807575,"[0.19734693877551024, 0.25142857142857133, 0.23714285714285732, 0.2326530612244897, 0.23408163265306137]",descriptive unadjusted interval; multiple comparisons
14,gnn - candidate,exact_optimum,0.806,0.6605079183553362,0.9514920816446639,"[0.6, 0.89, 0.83, 0.85, 0.86]",descriptive unadjusted interval; multiple comparisons
14,gnn - endpoint,optimality_ratio,0.014244897959183734,-0.01862666767065522,0.04711646358902268,"[-0.0251020408163265, 0.03755102040816327, 0.036530612244898064, 0.001224489795918382, 0.021020408163265447]",descriptive unadjusted interval; multiple comparisons
14,gnn - endpoint,exact_optimum,0.174,-0.06250358495235325,0.41050358495235323,"[-0.10999999999999999, 0.35, 0.2899999999999999, 0.06999999999999995, 0.27]",descriptive unadjusted interval; multiple comparisons
24,gnn - mlp,optimality_ratio,0.28268055555555555,0.2466060758195651,0.318755035291546,"[0.24895833333333328, 0.29375000000000007, 0.2547222222222222, 0.3027777777777777, 0.31319444444444444]",descriptive unadjusted interval; multiple comparisons
24,gnn - mlp,exact_optimum,0.354,0.1461185976362406,0.5618814023637594,"[0.17, 0.37, 0.22, 0.42, 0.59]",descriptive unadjusted interval; multiple comparisons
24,gnn - candidate,optimality_ratio,0.28394444444444444,0.24480815617021143,0.32308073271867743,"[0.24749999999999994, 0.2904861111111111, 0.25673611111111116, 0.3017361111111111, 0.3232638888888888]",descriptive unadjusted interval; multiple comparisons
24,gnn - candidate,exact_optimum,0.354,0.1461185976362406,0.5618814023637594,"[0.17, 0.37, 0.22, 0.42, 0.59]",descriptive unadjusted interval; multiple comparisons
24,gnn - endpoint,optimality_ratio,0.033375,-0.018357716022051267,0.08510771602205128,"[-0.01909722222222232, 0.08368055555555565, 0.03590277777777784, 0.004444444444444362, 0.06194444444444447]",descriptive unadjusted interval; multiple comparisons
24,gnn - endpoint,exact_optimum,0.20600000000000002,0.0119266857479991,0.40007331425200093,"[-0.03, 0.28, 0.16, 0.22999999999999998, 0.38999999999999996]",descriptive unadjusted interval; multiple comparisons
