method,n,seed,optimality_ratio,exact_optimum,absolute_gap,inference_time_seconds,first_loss_step,first_odd_cycle_step,parameter_count,exact_rate,unbalanced_bipartite_rate,nonbipartite_rate,odd_cycle_first_loss_rate,partition_imbalance_first_loss_rate
candidate,14,0,0.7436734693877551,0.01,12.56,0.010381207919999668,13.070707070707071,13.757575757575758,449.0,0.01,0.0,0.99,0.76,0.23
candidate,14,1,0.7391836734693878,0.0,12.78,0.010424406250021952,13.12,13.969696969696969,449.0,0.0,0.01,0.99,0.69,0.31
candidate,14,2,0.7426530612244897,0.01,12.61,0.010366116260010988,13.070707070707071,13.75257731958763,449.0,0.01,0.02,0.97,0.77,0.22
candidate,14,3,0.7542857142857143,0.01,12.04,0.010702503750035184,13.626262626262626,14.463917525773196,449.0,0.01,0.02,0.97,0.7,0.29
candidate,14,4,0.7463265306122449,0.0,12.43,0.010306170419989893,13.2,13.91,449.0,0.0,0.0,1.0,0.77,0.23
candidate,24,0,0.6320138888888889,0.0,52.99,0.06045942291000753,19.3,19.5,449.0,0.0,0.0,1.0,0.93,0.07
candidate,24,1,0.6358333333333334,0.0,52.44,0.0603618037500018,20.21,20.51,449.0,0.0,0.0,1.0,0.9,0.1
candidate,24,2,0.6325694444444444,0.0,52.91,0.059432102079972494,19.84,20.0,449.0,0.0,0.0,1.0,0.96,0.04
candidate,24,3,0.6266666666666666,0.0,53.76,0.06068349875002238,19.65,20.01,449.0,0.0,0.0,1.0,0.85,0.15
candidate,24,4,0.6198611111111112,0.0,54.74,0.05928999665999066,20.59,20.85,449.0,0.0,0.0,1.0,0.9,0.1
endpoint,14,0,0.9661224489795919,0.72,1.66,0.016750656260010117,14.535714285714286,14.857142857142858,13185.0,0.72,0.07,0.21,0.17,0.11
endpoint,14,1,0.9530612244897959,0.54,2.3,0.016913049169997953,24.97826086956522,11.4,13185.0,0.54,0.21,0.25,0.25,0.21
endpoint,14,2,0.943265306122449,0.55,2.78,0.016814200420012592,12.555555555555555,12.135135135135135,13185.0,0.55,0.08,0.37,0.35,0.1
endpoint,14,3,0.9857142857142857,0.79,0.7,0.018431560000008135,20.285714285714285,9.88888888888889,13185.0,0.79,0.12,0.09,0.08,0.13
endpoint,14,4,0.9593877551020408,0.59,1.99,0.016350120000042753,19.75609756097561,16.958333333333332,13185.0,0.59,0.17,0.24,0.22,0.19
endpoint,24,0,0.8986111111111111,0.2,14.6,0.10872487583998001,23.5875,23.45945945945946,13185.0,0.2,0.06,0.74,0.71,0.09
endpoint,24,1,0.8426388888888888,0.09,22.66,0.1071829649899882,31.571428571428573,16.810126582278482,13185.0,0.09,0.12,0.79,0.79,0.12
endpoint,24,2,0.8534027777777777,0.06,21.11,0.0992536566700073,21.23404255319149,21.891304347826086,13185.0,0.06,0.02,0.92,0.88,0.06
endpoint,24,3,0.9239583333333333,0.19,10.95,0.09750956042000318,29.246913580246915,17.8,13185.0,0.19,0.21,0.6,0.58,0.23
endpoint,24,4,0.8811805555555555,0.2,17.11,0.07018875791000025,26.5625,25.094594594594593,13185.0,0.2,0.06,0.74,0.7,0.1
gnn,14,0,0.9410204081632654,0.61,2.89,0.017531818749994214,15.76923076923077,15.837837837837839,38337.0,0.61,0.02,0.37,0.33,0.06
gnn,14,1,0.9906122448979592,0.89,0.46,0.018912534999999425,20.818181818181817,12.428571428571429,38337.0,0.89,0.04,0.07,0.07,0.04
gnn,14,2,0.979795918367347,0.84,0.99,0.018487516249988352,12.625,13.538461538461538,38337.0,0.84,0.03,0.13,0.12,0.04
gnn,14,3,0.986938775510204,0.86,0.64,0.02085430624998474,27.5,15.875,38337.0,0.86,0.06,0.08,0.08,0.06
gnn,14,4,0.9804081632653062,0.86,0.96,0.018835117899980058,17.285714285714285,12.363636363636363,38337.0,0.86,0.03,0.11,0.1,0.04
gnn,24,0,0.8795138888888888,0.17,17.35,0.11537234292998613,24.06024096385542,23.337662337662337,38337.0,0.17,0.06,0.77,0.74,0.09
gnn,24,1,0.9263194444444445,0.37,10.61,0.12427854292000118,22.349206349206348,20.56451612903226,38337.0,0.37,0.01,0.62,0.62,0.01
gnn,24,2,0.8893055555555556,0.22,15.94,0.11674539249001097,22.346153846153847,22.746666666666666,38337.0,0.22,0.03,0.75,0.7,0.08
gnn,24,3,0.9284027777777777,0.42,10.31,0.12408545416999914,40.793103448275865,24.06122448979592,38337.0,0.42,0.09,0.49,0.49,0.09
gnn,24,4,0.943125,0.59,8.19,0.12971308374997534,33.951219512195124,14.909090909090908,38337.0,0.59,0.08,0.33,0.33,0.08
mlp,14,0,0.7342857142857143,0.0,13.02,0.011340969990014788,13.11,13.92,37990.0,0.0,0.0,1.0,0.71,0.29
mlp,14,1,0.74,0.0,12.74,0.0112902441699952,12.55,13.24,37990.0,0.0,0.0,1.0,0.82,0.18
mlp,14,2,0.7508163265306123,0.0,12.21,0.012475907909993091,13.24,13.919191919191919,37990.0,0.0,0.01,0.99,0.74,0.26
mlp,14,3,0.753061224489796,0.0,12.1,0.0117367433299841,13.38,13.96938775510204,37990.0,0.0,0.02,0.98,0.78,0.22
mlp,14,4,0.7420408163265306,0.0,12.64,0.01125392709001967,12.75,13.52,37990.0,0.0,0.0,1.0,0.81,0.19
mlp,24,0,0.6305555555555555,0.0,53.2,0.06565994416998358,20.28,20.45,37990.0,0.0,0.0,1.0,0.95,0.05
mlp,24,1,0.6325694444444444,0.0,52.91,0.06679355250000295,19.97,20.27,37990.0,0.0,0.0,1.0,0.9,0.1
mlp,24,2,0.6345833333333334,0.0,52.62,0.06538879459998495,20.15,20.54,37990.0,0.0,0.0,1.0,0.91,0.09
mlp,24,3,0.625625,0.0,53.91,0.06442445750999465,19.72,20.23,37990.0,0.0,0.0,1.0,0.86,0.14
mlp,24,4,0.6299305555555555,0.0,53.29,0.06498036208999107,20.64,20.85,37990.0,0.0,0.0,1.0,0.91,0.09
