method,n,metric,mean,ci95_halfwidth,seed_count
candidate,14,optimality_ratio,0.7452244897959185,0.007046638853390097,5
candidate,14,exact_optimum,0.006,0.00680087380658257,5
candidate,14,absolute_gap,12.484,0.34528530381611494,5
candidate,14,inference_time_seconds,0.010436080920011536,0.00019225780772087682,5
candidate,14,first_loss_step,13.217535353535354,0.2911931778277086,5
candidate,14,first_odd_cycle_step,13.970753514526711,0.361976711146232,5
candidate,14,parameter_count,449.0,0.0,5
candidate,14,exact_rate,0.006,0.00680087380658257,5
candidate,14,unbalanced_bipartite_rate,0.01,0.012416639982037665,5
candidate,14,nonbipartite_rate,0.984,0.016658670631186805,5
candidate,14,odd_cycle_first_loss_rate,0.738,0.04919873261135417,5
candidate,14,partition_imbalance_first_loss_rate,0.256,0.050893079429834155,5
candidate,24,optimality_ratio,0.6293888888888889,0.007772223197060308,5
candidate,24,exact_optimum,0.0,0.0,5
candidate,24,absolute_gap,53.367999999999995,1.1192001403766902,5
candidate,24,inference_time_seconds,0.06004536482999897,0.0007915218087757081,5
candidate,24,first_loss_step,19.918,0.619800561178158,5
candidate,24,first_odd_cycle_step,20.174,0.6455817001181282,5
candidate,24,parameter_count,449.0,0.0,5
candidate,24,exact_rate,0.0,0.0,5
candidate,24,unbalanced_bipartite_rate,0.0,0.0,5
candidate,24,nonbipartite_rate,1.0,0.0,5
candidate,24,odd_cycle_first_loss_rate,0.908,0.05074138586013449,5
candidate,24,partition_imbalance_first_loss_rate,0.092,0.05074138586013448,5
endpoint,14,optimality_ratio,0.9615102040816327,0.01978766717392856,5
endpoint,14,exact_optimum,0.638,0.13809849283198364,5
endpoint,14,absolute_gap,1.886,0.9695956915225004,5
endpoint,14,inference_time_seconds,0.01705191717001431,0.000993813257882682,5
endpoint,14,first_loss_step,18.42226851150499,6.138273398244098,5
endpoint,14,first_odd_cycle_step,13.047900042900043,3.51705102212925,5
endpoint,14,parameter_count,13185.0,0.0,5
endpoint,14,exact_rate,0.638,0.13809849283198364,5
endpoint,14,unbalanced_bipartite_rate,0.13,0.07398067091981214,5
endpoint,14,nonbipartite_rate,0.23199999999999998,0.12429050419900282,5
endpoint,14,odd_cycle_first_loss_rate,0.21400000000000002,0.12373105422828641,5
endpoint,14,partition_imbalance_first_loss_rate,0.148,0.06108179231435157,5
endpoint,24,optimality_ratio,0.8799583333333333,0.04110338460001217,5
endpoint,24,exact_optimum,0.148,0.08393869038691043,5
