n,comparison,metric,difference,ci95_low,ci95_high,seed_differences,interpretation
14,gnn - mlp,optimality_ratio,0.02371428571428571,0.015383986812507128,0.03204458461606429,"[0.02632653061224488, 0.03265306122448974, 0.025510204081632737, 0.016326530612244983, 0.017755102040816206]",descriptive unadjusted interval; multiple comparisons
14,gnn - mlp,exact_optimum,0.398,0.371081365976621,0.42491863402337904,"[0.4, 0.3999999999999999, 0.39, 0.37, 0.42999999999999994]",descriptive unadjusted interval; multiple comparisons
14,gnn - candidate,optimality_ratio,0.022734693877550984,0.020241559497373485,0.02522782825772848,"[0.024897959183673435, 0.023469387755101878, 0.020408163265306256, 0.020816326530612272, 0.02408163265306107]",descriptive unadjusted interval; multiple comparisons
14,gnn - candidate,exact_optimum,0.31400000000000006,0.2521656315517034,0.3758343684482967,"[0.3500000000000001, 0.32999999999999996, 0.22999999999999998, 0.31000000000000005, 0.35]",descriptive unadjusted interval; multiple comparisons
14,gnn - endpoint,optimality_ratio,0.00420408163265309,-0.0036872282667608936,0.012095391532067073,"[0.0020408163265306367, 0.000612244897959191, 0.015510204081632728, 0.0008163265306123657, 0.0020408163265305257]",descriptive unadjusted interval; multiple comparisons
14,gnn - endpoint,exact_optimum,0.10800000000000001,0.04629042354257042,0.1697095764574296,"[0.17000000000000004, 0.07999999999999996, 0.13, 0.040000000000000036, 0.12]",descriptive unadjusted interval; multiple comparisons
24,gnn - mlp,optimality_ratio,0.011208333333333353,-0.01471433405532655,0.037131000721993254,"[-0.0157638888888888, 0.02979166666666666, -0.0038194444444444864, 0.013680555555555585, 0.03215277777777781]",descriptive unadjusted interval; multiple comparisons
24,gnn - mlp,exact_optimum,0.278,0.07828885418599485,0.4777111458140052,"[0.12, 0.4, 0.15000000000000002, 0.23, 0.49]",descriptive unadjusted interval; multiple comparisons
24,gnn - candidate,optimality_ratio,0.011333333333333351,-0.01712377897396867,0.03979044564063537,"[-0.017916666666666692, 0.028333333333333433, 0.012569444444444411, -0.0043055555555555625, 0.037986111111111165]",descriptive unadjusted interval; multiple comparisons
24,gnn - candidate,exact_optimum,0.24400000000000005,0.039106628069195654,0.4488933719308045,"[0.03999999999999998, 0.39, 0.22000000000000003, 0.14, 0.43000000000000005]",descriptive unadjusted interval; multiple comparisons
24,gnn - endpoint,optimality_ratio,-0.016319444444444397,-0.050076716367674134,0.017437827478785337,"[-0.0553472222222221, -0.005624999999999991, 0.009236111111111112, -0.03312499999999996, 0.003263888888888955]",descriptive unadjusted interval; multiple comparisons
24,gnn - endpoint,exact_optimum,0.05600000000000003,-0.07469951295832675,0.1866995129583268,"[0.030000000000000027, 0.07000000000000006, -0.02999999999999997, -0.020000000000000018, 0.23000000000000004]",descriptive unadjusted interval; multiple comparisons
40,gnn - candidate,optimality_ratio,0.005339999999999989,-0.04305002923247743,0.05373002923247741,"[-0.046700000000000075, 0.023050000000000126, 0.019449999999999967, -0.020950000000000024, 0.05184999999999995]",descriptive unadjusted interval; multiple comparisons
40,gnn - candidate,exact_optimum,0.098,-0.036707668793592496,0.2327076687935925,"[0.01, 0.11, 0.060000000000000005, 0.03, 0.27999999999999997]",descriptive unadjusted interval; multiple comparisons
40,gnn - endpoint,optimality_ratio,-0.028425000000000013,-0.07662046539657365,0.019770465396573622,"[-0.09120000000000006, -0.0009500000000000064, -0.005525000000000002, -0.041324999999999945, -0.0031250000000000444]",descriptive unadjusted interval; multiple comparisons
40,gnn - endpoint,exact_optimum,0.03599999999999999,-0.1246024105504137,0.19660241055041366,"[0.0, -0.11000000000000001, 0.060000000000000005, -0.010000000000000009, 0.24]",descriptive unadjusted interval; multiple comparisons
