n,comparison,metric,difference,ci95_low,ci95_high,seed_differences,interpretation
15,gnn_parity - gnn_fresh,optimality_ratio,0.01657142857142859,0.0028903950216376036,0.030252462121219577,"[0.02124999999999999, 0.00910714285714287, 0.03392857142857142, 0.008750000000000036, 0.009821428571428648]","exploratory, descriptive unadjusted interval"
15,gnn_parity - gnn_fresh,exact_optimum,0.12200000000000004,0.006052248386282433,0.23794775161371765,"[0.16000000000000003, 0.06000000000000005, 0.27, 0.06000000000000005, 0.06000000000000005]","exploratory, descriptive unadjusted interval"
15,gnn_parity - uniform_parity,optimality_ratio,0.013857142857142813,0.010993531440677643,0.016720754273607984,"[0.01749999999999996, 0.011428571428571344, 0.014285714285714346, 0.012499999999999956, 0.013571428571428457]","exploratory, descriptive unadjusted interval"
15,gnn_parity - uniform_parity,exact_optimum,0.29799999999999993,0.21452175571055743,0.38147824428944244,"[0.39, 0.28, 0.26, 0.21999999999999997, 0.33999999999999997]","exploratory, descriptive unadjusted interval"
24,gnn_parity - gnn_fresh,optimality_ratio,0.06984722222222221,0.04665726599787096,0.09303717844657347,"[0.0945138888888889, 0.05472222222222223, 0.0764583333333333, 0.07562499999999994, 0.04791666666666672]","exploratory, descriptive unadjusted interval"
24,gnn_parity - gnn_fresh,exact_optimum,0.45999999999999996,0.29644876474036164,0.6235512352596383,"[0.55, 0.43999999999999995, 0.56, 0.51, 0.24]","exploratory, descriptive unadjusted interval"
24,gnn_parity - uniform_parity,optimality_ratio,0.010805555555555601,0.009815637371349238,0.011795473739761964,"[0.011041666666666727, 0.011527777777777803, 0.011319444444444438, 0.010624999999999996, 0.009513888888889044]","exploratory, descriptive unadjusted interval"
24,gnn_parity - uniform_parity,exact_optimum,0.592,0.49646446447600057,0.6875355355239994,"[0.49999999999999994, 0.63, 0.69, 0.6100000000000001, 0.53]","exploratory, descriptive unadjusted interval"
30,gnn_parity - gnn_fresh,optimality_ratio,0.09974222222222222,0.0684884824101816,0.13099596203426284,"[0.13364444444444445, 0.08413333333333328, 0.11039999999999994, 0.10271111111111109, 0.06782222222222234]","exploratory, descriptive unadjusted interval"
30,gnn_parity - gnn_fresh,exact_optimum,0.5780000000000001,0.39905385896387013,0.75694614103613,"[0.65, 0.58, 0.75, 0.55, 0.36]","exploratory, descriptive unadjusted interval"
30,gnn_parity - uniform_parity,optimality_ratio,0.00799111111111106,0.006731851252034171,0.00925037097018795,"[0.008888888888888835, 0.0074666666666665105, 0.008933333333333238, 0.006533333333333391, 0.008133333333333326]","exploratory, descriptive unadjusted interval"
30,gnn_parity - uniform_parity,exact_optimum,0.55,0.3981815037872241,0.701818496212776,"[0.42000000000000004, 0.6499999999999999, 0.7, 0.45, 0.53]","exploratory, descriptive unadjusted interval"
40,gnn_parity - gnn_fresh,optimality_ratio,0.15693000000000001,0.11070948816520211,0.20315051183479793,"[0.20825000000000005, 0.14385000000000003, 0.16342499999999993, 0.16367500000000001, 0.10545000000000004]","exploratory, descriptive unadjusted interval"
40,gnn_parity - gnn_fresh,exact_optimum,0.67,0.417511358312097,0.922488641687903,"[0.65, 0.82, 0.8700000000000001, 0.6599999999999999, 0.35]","exploratory, descriptive unadjusted interval"
40,gnn_parity - uniform_parity,optimality_ratio,0.005969999999999964,0.005329910466818299,0.0066100895331816295,"[0.005799999999999916, 0.005249999999999977, 0.006650000000000045, 0.005950000000000011, 0.006199999999999872]","exploratory, descriptive unadjusted interval"
40,gnn_parity - uniform_parity,exact_optimum,0.526,0.3668440531137055,0.6851559468862946,"[0.41000000000000003, 0.6499999999999999, 0.68, 0.44999999999999996, 0.43999999999999995]","exploratory, descriptive unadjusted interval"
