method,n,seed,optimality_ratio,exact_optimum,absolute_gap,inference_time_seconds,first_loss_step,first_odd_cycle_step,parameter_count,exact_rate,unbalanced_bipartite_rate,nonbipartite_rate,odd_cycle_first_loss_rate,partition_imbalance_first_loss_rate
gnn_fresh,15,0,0.97875,0.84,1.19,0.031015562080028695,21.0,21.0,38337.0,0.84,0.0,0.16,0.16,0.0
gnn_fresh,15,1,0.9908928571428571,0.94,0.51,0.030282193750026578,17.166666666666668,17.166666666666668,38337.0,0.94,0.0,0.06,0.06,0.0
gnn_fresh,15,2,0.9660714285714286,0.73,1.9,0.027888720429982604,15.148148148148149,15.148148148148149,38337.0,0.73,0.0,0.27,0.27,0.0
gnn_fresh,15,3,0.99125,0.94,0.49,0.02907716667001289,20.166666666666668,20.166666666666668,38337.0,0.94,0.0,0.06,0.06,0.0
gnn_fresh,15,4,0.9901785714285714,0.94,0.55,0.028700468750011997,15.333333333333334,15.333333333333334,38337.0,0.94,0.0,0.06,0.06,0.0
gnn_fresh,24,0,0.9041666666666667,0.29,13.8,0.14244718874999301,22.338028169014084,19.455882352941178,38337.0,0.29,0.03,0.68,0.67,0.04
gnn_fresh,24,1,0.9452083333333333,0.55,7.89,0.14453245459000752,23.933333333333334,23.933333333333334,38337.0,0.55,0.0,0.45,0.45,0.0
gnn_fresh,24,2,0.9234722222222222,0.43,11.02,0.14200487709000295,21.649122807017545,21.678571428571427,38337.0,0.43,0.01,0.56,0.56,0.01
gnn_fresh,24,3,0.9238888888888889,0.42,10.96,0.14712035791997546,33.87931034482759,22.442307692307693,38337.0,0.42,0.06,0.52,0.52,0.06
gnn_fresh,24,4,0.9511805555555556,0.63,7.03,0.16463392707999447,44.83783783783784,33.645161290322584,38337.0,0.63,0.06,0.31,0.26,0.11
gnn_fresh,30,0,0.8654222222222222,0.14,30.28,0.30596592291998603,29.767441860465116,27.0,38337.0,0.14,0.02,0.84,0.82,0.04
gnn_fresh,30,1,0.9156,0.36,18.99,0.32514927833999535,26.0,25.887096774193548,38337.0,0.36,0.02,0.62,0.61,0.03
gnn_fresh,30,2,0.8894222222222222,0.21,24.88,0.3096802829100124,28.088607594936708,28.164556962025316,38337.0,0.21,0.0,0.79,0.77,0.02
gnn_fresh,30,3,0.8963555555555556,0.24,23.32,0.3233102995900298,32.723684210526315,25.397260273972602,38337.0,0.24,0.03,0.73,0.73,0.03
gnn_fresh,30,4,0.9315555555555555,0.5,15.4,0.3620389525099926,70.2,48.36585365853659,38337.0,0.5,0.09,0.41,0.38,0.12
gnn_fresh,40,0,0.7906749999999999,0.01,83.73,0.7944436862500334,29.555555555555557,30.616161616161616,38337.0,0.01,0.0,0.99,0.98,0.01
gnn_fresh,40,1,0.856,0.12,57.6,0.8998423941699911,33.64772727272727,33.52873563218391,38337.0,0.12,0.01,0.87,0.87,0.01
gnn_fresh,40,2,0.8364,0.06,65.44,0.8914723616700212,34.38297872340426,34.655913978494624,38337.0,0.06,0.01,0.93,0.92,0.02
gnn_fresh,40,3,0.83565,0.07,65.74,0.9082770925099976,35.43010752688172,31.67391304347826,38337.0,0.07,0.01,0.92,0.92,0.01
gnn_fresh,40,4,0.8937999999999999,0.35,42.48,1.0104695116599942,65.18461538461538,32.280701754385966,38337.0,0.35,0.08,0.57,0.57,0.08
gnn_parity,15,0,1.0,1.0,0.0,0.030409412089975305,,,38337.0,1.0,0.0,0.0,0.0,0.0
gnn_parity,15,1,1.0,1.0,0.0,0.029476437510020267,,,38337.0,1.0,0.0,0.0,0.0,0.0
gnn_parity,15,2,1.0,1.0,0.0,0.02994795748998509,,,38337.0,1.0,0.0,0.0,0.0,0.0
gnn_parity,15,3,1.0,1.0,0.0,0.032779155820007816,,,38337.0,1.0,0.0,0.0,0.0,0.0
gnn_parity,15,4,1.0,1.0,0.0,0.030051451239996765,,,38337.0,1.0,0.0,0.0,0.0,0.0
gnn_parity,24,0,0.9986805555555556,0.84,0.19,0.16870492000001827,79.8125,,38337.0,0.84,0.16,0.0,0.0,0.16
gnn_parity,24,1,0.9999305555555555,0.99,0.01,0.1680332849800106,28.0,,38337.0,0.99,0.01,0.0,0.0,0.01
gnn_parity,24,2,0.9999305555555555,0.99,0.01,0.16737564999999446,20.0,,38337.0,0.99,0.01,0.0,0.0,0.01
gnn_parity,24,3,0.9995138888888888,0.93,0.07,0.171561528330003,133.0,,38337.0,0.93,0.07,0.0,0.0,0.07
gnn_parity,24,4,0.9990972222222223,0.87,0.13,0.19942919541997978,109.46153846153847,,38337.0,0.87,0.13,0.0,0.0,0.13
gnn_parity,30,0,0.9990666666666667,0.79,0.21,0.390477579160015,134.85714285714286,,38337.0,0.79,0.21,0.0,0.0,0.21
gnn_parity,30,1,0.9997333333333333,0.94,0.06,0.3890146595799888,37.666666666666664,,38337.0,0.94,0.06,0.0,0.0,0.06
gnn_parity,30,2,0.9998222222222222,0.96,0.04,0.3877943183399838,27.25,,38337.0,0.96,0.04,0.0,0.0,0.04
gnn_parity,30,3,0.9990666666666667,0.79,0.21,0.39896017331999245,207.04761904761904,,38337.0,0.79,0.21,0.0,0.0,0.21
gnn_parity,30,4,0.9993777777777778,0.86,0.14,0.46330110207001773,172.42857142857142,,38337.0,0.86,0.14,0.0,0.0,0.14
gnn_parity,40,0,0.998925,0.66,0.43,1.1968149050100148,170.61764705882354,,38337.0,0.66,0.34,0.0,0.0,0.34
gnn_parity,40,1,0.99985,0.94,0.06,1.196797661670007,107.33333333333333,,38337.0,0.94,0.06,0.0,0.0,0.06
gnn_parity,40,2,0.999825,0.93,0.07,1.2587391166700217,33.142857142857146,,38337.0,0.93,0.07,0.0,0.0,0.07
gnn_parity,40,3,0.999325,0.73,0.27,1.2716484466600013,377.4074074074074,,38337.0,0.73,0.27,0.0,0.0,0.27
gnn_parity,40,4,0.99925,0.7,0.3,1.270228282920016,310.46666666666664,,38337.0,0.7,0.3,0.0,0.0,0.3
uniform_parity,15,0,0.9825,0.61,0.98,0.02709927750001947,16.23076923076923,,0.0,0.61,0.39,0.0,0.0,0.39
uniform_parity,15,1,0.9885714285714287,0.72,0.64,0.02456795709000287,16.071428571428573,,0.0,0.72,0.28,0.0,0.0,0.28
uniform_parity,15,2,0.9857142857142857,0.74,0.8,0.023726973330030838,15.846153846153847,,0.0,0.74,0.26,0.0,0.0,0.26
uniform_parity,15,3,0.9875,0.78,0.7,0.023673702070009274,14.863636363636363,,0.0,0.78,0.22,0.0,0.0,0.22
uniform_parity,15,4,0.9864285714285715,0.66,0.76,0.023731522490015713,15.617647058823529,,0.0,0.66,0.34,0.0,0.0,0.34
uniform_parity,24,0,0.9876388888888888,0.34,1.78,0.14182473793000094,26.53030303030303,,0.0,0.34,0.66,0.0,0.0,0.66
uniform_parity,24,1,0.9884027777777777,0.36,1.67,0.13976652833001932,26.859375,,0.0,0.36,0.64,0.0,0.0,0.64
uniform_parity,24,2,0.9886111111111111,0.3,1.64,0.14108075707003076,27.34285714285714,,0.0,0.3,0.7,0.0,0.0,0.7
uniform_parity,24,3,0.9888888888888888,0.32,1.6,0.1399225854200267,27.676470588235293,,0.0,0.32,0.68,0.0,0.0,0.68
uniform_parity,24,4,0.9895833333333333,0.34,1.5,0.141001737509996,26.939393939393938,,0.0,0.34,0.66,0.0,0.0,0.66
uniform_parity,30,0,0.9901777777777778,0.37,2.21,0.3387718037500235,33.19047619047619,,0.0,0.37,0.63,0.0,0.0,0.63
uniform_parity,30,1,0.9922666666666667,0.29,1.74,0.33481180082997525,36.80281690140845,,0.0,0.29,0.71,0.0,0.0,0.71
uniform_parity,30,2,0.9908888888888889,0.26,2.05,0.3341021879299842,36.13513513513514,,0.0,0.26,0.74,0.0,0.0,0.74
