method,n,seed,outcome,episodes,mean_ratio,mean_gap
candidate,6,0,exact,95,1.0,0.0
candidate,6,0,unbalanced_bipartite,5,0.888888888888889,1.0
candidate,6,1,exact,94,1.0,0.0
candidate,6,1,nonbipartite,1,0.7777777777777778,2.0
candidate,6,1,unbalanced_bipartite,5,0.888888888888889,1.0
candidate,6,2,exact,97,1.0,0.0
candidate,6,2,nonbipartite,1,0.7777777777777778,2.0
candidate,6,2,unbalanced_bipartite,2,0.8888888888888888,1.0
candidate,6,3,exact,94,1.0,0.0
candidate,6,3,unbalanced_bipartite,6,0.8888888888888888,1.0
candidate,6,4,exact,90,1.0,0.0
candidate,6,4,nonbipartite,2,0.7777777777777778,2.0
candidate,6,4,unbalanced_bipartite,8,0.8888888888888888,1.0
candidate,7,0,exact,98,1.0,0.0
candidate,7,0,nonbipartite,2,0.8333333333333334,2.0
candidate,7,1,exact,98,1.0,0.0
candidate,7,1,nonbipartite,2,0.8333333333333334,2.0
candidate,7,2,exact,97,1.0,0.0
candidate,7,2,nonbipartite,3,0.8333333333333334,2.0
candidate,7,3,exact,98,1.0,0.0
candidate,7,3,nonbipartite,2,0.8333333333333334,2.0
candidate,7,4,exact,99,1.0,0.0
candidate,7,4,nonbipartite,1,0.8333333333333334,2.0
candidate,8,0,exact,92,1.0,0.0
candidate,8,0,nonbipartite,2,0.8125,3.0
candidate,8,0,unbalanced_bipartite,6,0.9375,1.0
candidate,8,1,exact,88,1.0,0.0
candidate,8,1,nonbipartite,2,0.8125,3.0
candidate,8,1,unbalanced_bipartite,10,0.9375,1.0
candidate,8,2,exact,86,1.0,0.0
candidate,8,2,nonbipartite,4,0.8125,3.0
candidate,8,2,unbalanced_bipartite,10,0.9375,1.0
candidate,8,3,exact,82,1.0,0.0
candidate,8,3,nonbipartite,2,0.8125,3.0
candidate,8,3,unbalanced_bipartite,16,0.9375,1.0
candidate,8,4,exact,92,1.0,0.0
candidate,8,4,nonbipartite,2,0.8125,3.0
candidate,8,4,unbalanced_bipartite,6,0.9375,1.0
candidate,9,0,exact,97,1.0,0.0
candidate,9,0,nonbipartite,3,0.85,3.0
candidate,9,1,exact,92,1.0,0.0
candidate,9,1,nonbipartite,8,0.85,3.0
candidate,9,2,exact,93,1.0,0.0
candidate,9,2,nonbipartite,6,0.85,3.0
candidate,9,2,unbalanced_bipartite,1,0.9,2.0
candidate,9,3,exact,94,1.0,0.0
candidate,9,3,nonbipartite,6,0.85,3.0
candidate,9,4,exact,93,1.0,0.0
candidate,9,4,nonbipartite,7,0.8357142857142856,3.2857142857142856
candidate,10,0,exact,86,1.0,0.0
candidate,10,0,nonbipartite,2,0.84,4.0
candidate,10,0,unbalanced_bipartite,12,0.96,1.0
candidate,10,1,exact,74,1.0,0.0
candidate,10,1,nonbipartite,8,0.84,4.0
candidate,10,1,unbalanced_bipartite,18,0.9600000000000001,1.0
candidate,10,2,exact,74,1.0,0.0
candidate,10,2,nonbipartite,9,0.8355555555555555,4.111111111111111
candidate,10,2,unbalanced_bipartite,17,0.96,1.0
candidate,10,3,exact,75,1.0,0.0
candidate,10,3,nonbipartite,12,0.8333333333333334,4.166666666666667
candidate,10,3,unbalanced_bipartite,13,0.9600000000000001,1.0
candidate,10,4,exact,80,1.0,0.0
candidate,10,4,nonbipartite,6,0.8333333333333334,4.166666666666667
candidate,10,4,unbalanced_bipartite,14,0.96,1.0
candidate,11,0,exact,91,1.0,0.0
candidate,11,0,nonbipartite,8,0.8416666666666667,4.75
candidate,11,0,unbalanced_bipartite,1,0.9333333333333332,2.0
candidate,11,1,exact,89,1.0,0.0
candidate,11,1,nonbipartite,11,0.8454545454545456,4.636363636363637
candidate,11,2,exact,89,1.0,0.0
candidate,11,2,nonbipartite,10,0.86,4.2
candidate,11,2,unbalanced_bipartite,1,0.9333333333333332,2.0
