method,n,seed,episode,feasible_decisions,mixed_group_states,unavoidable_alias_states,sum_bad_action_mass,sum_bad_mass_in_mixed_groups,chosen_bad_action,chosen_bad_in_mixed_group,first_loss_bad_mass,trajectory_has_mixed_group,trajectory_has_unavoidable_alias
candidate,14,0,4.5,42.0,1.8,0.0,0.3824506398691824,0.01985387406311929,0.2,0.0,0.15616201224747783,0.8,0.0
candidate,14,1,4.5,27.5,2.2,0.0,0.39223523492943285,0.051582304974726864,0.6,0.1,0.15485473525988405,0.7,0.0
candidate,14,2,4.5,42.0,4.0,0.0,0.5150274751290681,0.06648402275550325,0.2,0.1,0.1781746495862535,0.9,0.0
candidate,14,3,4.5,30.7,2.6,0.0,0.423015714107683,0.036931356490822506,0.6,0.0,0.05990958675101865,0.9,0.0
candidate,14,4,4.5,42.2,3.9,0.0,0.5638114694330852,0.06415363150645134,0.2,0.0,0.21306352541341766,0.9,0.0
candidate,24,0,4.5,46.2,11.5,0.0,0.875906234940048,0.3765596767161469,0.8,0.4,0.07100590035292953,1.0,0.0
candidate,24,1,4.5,47.0,7.6,0.0,0.7379321462863146,0.1761189896246833,0.8,0.1,0.08352725197523725,1.0,0.0
candidate,24,2,4.5,49.4,9.9,0.0,0.6264050200245947,0.23995103575184656,0.8,0.3,0.09469051188288802,1.0,0.0
candidate,24,3,4.5,58.7,7.5,0.0,0.8856396729159386,0.24667369112048618,0.7,0.1,0.03968009666493393,0.8,0.0
candidate,24,4,4.5,44.2,10.8,0.0,0.7001653426584994,0.30689067559887917,0.8,0.5,0.077709125076737,1.0,0.0
candidate,40,0,4.5,27.9,15.6,0.0,0.8690571346943671,0.6981206095174457,1.0,0.7,0.11381595938605642,1.0,0.0
candidate,40,1,4.5,33.6,20.7,0.0,1.3810449210755593,0.692546754931351,1.0,0.9,0.11038840245209372,1.0,0.0
candidate,40,2,4.5,64.5,16.1,0.0,0.9795240370096507,0.5093396817343319,0.9,0.7,0.13712272168272144,1.0,0.0
candidate,40,3,4.5,32.0,19.2,0.0,1.2306738846908076,0.7368090718122176,1.0,0.5,0.08917066103945785,1.0,0.0
candidate,40,4,4.5,31.7,17.3,0.0,0.9457594714171705,0.5454444719882645,1.0,0.8,0.12022642604366637,1.0,0.0
endpoint,14,0,4.5,43.1,1.8,0.0,0.13843500844744525,0.01152127803267149,0.2,0.0,0.07400820091470273,0.7,0.0
endpoint,14,1,4.5,49.0,0.2,0.0,0.11969017258533943,0.0034273563884198665,0.0,0.0,,0.1,0.0
endpoint,14,2,4.5,44.0,4.1,0.0,0.15664551101788285,0.04934508205096222,0.2,0.1,0.03323640155182839,0.8,0.0
