method,n,seed,episode,feasible_decisions,mixed_group_states,unavoidable_alias_states,sum_bad_action_mass,sum_bad_mass_in_mixed_groups,chosen_bad_action,chosen_bad_in_mixed_group,first_loss_bad_mass,trajectory_has_mixed_group,trajectory_has_unavoidable_alias
candidate,14,2.0,4.5,36.88,2.9,0.0,0.45530810669369026,0.04780103795812465,0.36,0.04,0.15243290185161035,0.8400000000000001,0.0
candidate,24,2.0,4.5,49.1,9.459999999999999,0.0,0.7652096833650791,0.2692388137624084,0.78,0.27999999999999997,0.07332257719054515,0.96,0.0
candidate,40,2.0,4.5,37.94,17.78,0.0,1.0812118897775111,0.6364521179967222,0.9800000000000001,0.72,0.11414483412079916,1.0,0.0
endpoint,14,2.0,4.5,46.0,2.7199999999999998,0.0,0.1587825360005837,0.025567626080238597,0.14,0.02,0.052104078880498866,0.62,0.0
endpoint,24,2.0,4.5,68.5,7.62,0.0,0.46008313745911755,0.1616815875442988,0.6799999999999999,0.28,0.08349411508333844,0.96,0.0
endpoint,40,2.0,4.5,57.17999999999999,17.54,0.0,0.9627040207167417,0.5152471762384878,0.9800000000000001,0.48,0.10650268282437325,1.0,0.0
gnn,14,2.0,4.5,47.08,0.32,0.0,0.07616137765993253,0.0005312953463486014,0.06000000000000001,0.0,0.01896460240376996,0.18,0.0
gnn,24,2.0,4.5,90.76,0.42000000000000004,0.0,0.5264931836574883,0.003047151289683825,0.44000000000000006,0.0,0.10784748387248175,0.3,0.0
gnn,40,2.0,4.5,84.6,1.5399999999999998,0.0,1.1889602366521024,0.021388334545627004,0.9,0.02,0.1761151485222366,0.6,0.0
mlp,14,2.0,4.5,32.32,,,0.3749556700912822,,0.5,,0.08575106777609758,,
mlp,24,2.0,4.5,46.019999999999996,,,0.8052101145421757,,0.82,,0.08099829199019186,,
untrained_gnn,14,2.0,4.5,13.16,0.2,0.0,1.0051512099429964,0.012787544410675764,1.0,0.04,0.29061064446344975,0.18,0.0
untrained_gnn,24,2.0,4.5,20.0,0.38,0.0,1.0026134056737646,0.008293846207670867,1.0,0.0,0.2260996262356639,0.26,0.0
untrained_gnn,40,2.0,4.5,29.54,1.1400000000000001,0.0,0.9153435226832517,0.013367962753400206,1.0,0.04,0.15788724746089428,0.4,0.0
untrained_mlp,14,2.0,4.5,12.78,,,0.9070647567138076,,1.0,,0.27469546351581814,,
untrained_mlp,24,2.0,4.5,20.5,,,1.1733934868266807,,1.0,,0.235426582666114,,
