method,n,seed,optimality_ratio,exact_optimum,absolute_gap,inference_time_seconds,first_loss_step,first_odd_cycle_step,parameter_count,exact_rate,unbalanced_bipartite_rate,nonbipartite_rate,odd_cycle_first_loss_rate,partition_imbalance_first_loss_rate
candidate,6,0,0.9944444444444445,0.95,0.05,0.001053337100001904,5.2,,449.0,0.95,0.05,0.0,0.0,0.05
candidate,6,1,0.9922222222222223,0.94,0.07,0.001044045830021764,5.333333333333333,7.0,449.0,0.94,0.05,0.01,0.0,0.06
candidate,6,2,0.9955555555555555,0.97,0.04,0.0010823049999998601,6.0,7.0,449.0,0.97,0.02,0.01,0.01,0.02
candidate,6,3,0.9933333333333333,0.94,0.06,0.001015537909997848,5.666666666666667,,449.0,0.94,0.06,0.0,0.0,0.06
candidate,6,4,0.9866666666666667,0.9,0.12,0.000930378339999092,5.5,6.5,449.0,0.9,0.08,0.02,0.0,0.1
candidate,7,0,0.9966666666666667,0.98,0.04,0.001613780010002236,7.0,7.0,449.0,0.98,0.0,0.02,0.02,0.0
candidate,7,1,0.9966666666666667,0.98,0.04,0.001623167490006332,7.5,7.5,449.0,0.98,0.0,0.02,0.02,0.0
candidate,7,2,0.995,0.97,0.06,0.0015255450099993758,7.666666666666667,7.666666666666667,449.0,0.97,0.0,0.03,0.03,0.0
candidate,7,3,0.9966666666666667,0.98,0.04,0.0015080379099981281,8.5,8.5,449.0,0.98,0.0,0.02,0.02,0.0
candidate,7,4,0.9983333333333333,0.99,0.02,0.001497007919997416,8.0,8.0,449.0,0.99,0.0,0.01,0.01,0.0
candidate,8,0,0.9925,0.92,0.12,0.002414192920004964,7.625,9.5,449.0,0.92,0.06,0.02,0.01,0.07
candidate,8,1,0.99,0.88,0.16,0.00235608334000056,7.416666666666667,8.0,449.0,0.88,0.1,0.02,0.01,0.11
candidate,8,2,0.98625,0.86,0.22,0.002297272909991036,7.714285714285714,9.25,449.0,0.86,0.1,0.04,0.02,0.12
candidate,8,3,0.98625,0.82,0.22,0.003072987490004316,8.555555555555555,10.0,449.0,0.82,0.16,0.02,0.01,0.17
candidate,8,4,0.9925,0.92,0.12,0.002256329159999904,7.75,10.0,449.0,0.92,0.06,0.02,0.01,0.07
candidate,9,0,0.9954999999999999,0.97,0.09,0.003629227920000604,7.666666666666667,7.666666666666667,449.0,0.97,0.0,0.03,0.03,0.0
candidate,9,1,0.988,0.92,0.24,0.003314935019998248,10.0,10.0,449.0,0.92,0.0,0.08,0.08,0.0
candidate,9,2,0.99,0.93,0.2,0.0033512145900021677,10.142857142857142,10.5,449.0,0.93,0.01,0.06,0.06,0.01
candidate,9,3,0.991,0.94,0.18,0.003646714999986188,10.0,10.0,449.0,0.94,0.0,0.06,0.06,0.0
candidate,9,4,0.9884999999999999,0.93,0.23,0.003144922920009744,8.714285714285714,9.0,449.0,0.93,0.0,0.07,0.06,0.01
candidate,10,0,0.992,0.86,0.2,0.004957249169992728,10.571428571428571,13.5,449.0,0.86,0.12,0.02,0.01,0.13
candidate,10,1,0.98,0.74,0.5,0.004888393330002103,9.73076923076923,10.0,449.0,0.74,0.18,0.08,0.05,0.21
candidate,10,2,0.9784,0.74,0.54,0.004740224169990992,9.884615384615385,11.88888888888889,449.0,0.74,0.17,0.09,0.05,0.21
candidate,10,3,0.9748,0.75,0.63,0.004786108740008712,11.0,11.333333333333334,449.0,0.75,0.13,0.12,0.08,0.17
candidate,10,4,0.9843999999999999,0.8,0.39,0.004558324580002572,10.05,10.5,449.0,0.8,0.14,0.06,0.05,0.15
candidate,11,0,0.9866666666666667,0.91,0.4,0.006634332500007032,11.777777777777779,12.25,449.0,0.91,0.01,0.08,0.07,0.02
candidate,11,1,0.983,0.89,0.51,0.006658111669994424,9.0,9.0,449.0,0.89,0.0,0.11,0.11,0.0
candidate,11,2,0.9853333333333333,0.89,0.44,0.006497342920001712,11.727272727272727,12.0,449.0,0.89,0.01,0.1,0.09,0.02
candidate,11,3,0.9863333333333334,0.91,0.41,0.006233817079983008,11.333333333333334,11.777777777777779,449.0,0.91,0.0,0.09,0.08,0.01
candidate,11,4,0.9826666666666667,0.89,0.52,0.007003847080004491,12.727272727272727,12.727272727272727,449.0,0.89,0.0,0.11,0.11,0.0
candidate,12,0,0.9783333333333333,0.7,0.78,0.008853679999992852,11.9,11.2,449.0,0.7,0.2,0.1,0.08,0.22
candidate,12,1,0.9672222222222223,0.62,1.18,0.008793700819996876,11.81578947368421,12.333333333333334,449.0,0.62,0.2,0.18,0.12,0.26
