record_id,graph_sha256,graph_reference,outcome,method,n,seed,episode
candidate/s0/n10/e0,c351037e054abedc5a6964a618d9c594cc5f914a69a5d7c510c3ea2b9fa1dcae,study/artifacts/evaluation/candidate/seed-0/n-10/chunk-000000.json.gz,exact,candidate,10,0,0
candidate/s0/n10/e1,ae0b69697964137acd3a21fdc1d35e38e6b24db260a33450db51da754225e57b,study/artifacts/evaluation/candidate/seed-0/n-10/chunk-000000.json.gz,nonbipartite,candidate,10,0,1
candidate/s0/n10/e22,0d57c70e472b1a2d6eac2a195d274fcc89dbfe4b4571ea6cfcfc186110019b21,study/artifacts/evaluation/candidate/seed-0/n-10/chunk-000000.json.gz,unbalanced_bipartite,candidate,10,0,22
candidate/s0/n11/e0,2592f342a0622dff4cac1d1617d74119449aba50228b5e41178c80536bbb0184,study/artifacts/evaluation/candidate/seed-0/n-11/chunk-000000.json.gz,exact,candidate,11,0,0
candidate/s0/n11/e4,8433aa1c5f5a2e70b0da057a1a893667892731d6277e9259e72f65e14283aa9e,study/artifacts/evaluation/candidate/seed-0/n-11/chunk-000000.json.gz,nonbipartite,candidate,11,0,4
candidate/s0/n11/e94,ea905fa9eb3e4ac9c7458d32302317e4ada37100114ee006d11851079c43aaca,study/artifacts/evaluation/candidate/seed-0/n-11/chunk-000064.json.gz,unbalanced_bipartite,candidate,11,0,94
candidate/s0/n12/e0,fc5ef22658662b290612ebc033c090b16615199ab7ac3fe3279cab2b498f67aa,study/artifacts/evaluation/candidate/seed-0/n-12/chunk-000000.json.gz,exact,candidate,12,0,0
candidate/s0/n12/e8,66b8b5c2cfd6063d602ece7a2f7d4d85e9795f1d01f412004d2b2558f39f87b2,study/artifacts/evaluation/candidate/seed-0/n-12/chunk-000000.json.gz,unbalanced_bipartite,candidate,12,0,8
candidate/s0/n12/e18,7ae989a0c0b5cba0a873a58cd44beed0ee7956cf79c1219bb8ced06aed25887b,study/artifacts/evaluation/candidate/seed-0/n-12/chunk-000000.json.gz,nonbipartite,candidate,12,0,18
candidate/s0/n13/e0,ab5c3249f3aae38e7ce8e413eeff758122befdfe1235ac58916fa0f10076e27c,study/artifacts/evaluation/candidate/seed-0/n-13/chunk-000000.json.gz,exact,candidate,13,0,0
candidate/s0/n13/e10,296e3064477ccf5c23dc007b002d5bc08764978b78142792e6026ba177825b74,study/artifacts/evaluation/candidate/seed-0/n-13/chunk-000000.json.gz,nonbipartite,candidate,13,0,10
candidate/s0/n14/e0,fb35240d6fba63f6da671152ee73bb1397578beb06cdc1eca9bfeb4aac04ecf6,study/artifacts/evaluation/candidate/seed-0/n-14/chunk-000000.json.gz,unbalanced_bipartite,candidate,14,0,0
candidate/s0/n14/e1,294ae7988988b7a4f2f8ad0c22b6ac972a92b57f5f2fb33326f9fe7f31b618f5,study/artifacts/evaluation/candidate/seed-0/n-14/chunk-000000.json.gz,exact,candidate,14,0,1
candidate/s0/n14/e10,3606c135e1c0867d394702e7d7adf35763f0f0030ba12a9ef07d2f2bf62d4973,study/artifacts/evaluation/candidate/seed-0/n-14/chunk-000000.json.gz,nonbipartite,candidate,14,0,10
candidate/s0/n15/e0,ff5e13536db91460e83c7d192509cbf790ff267ee02e017c1633730ac4c6d343,study/artifacts/evaluation/candidate/seed-0/n-15/chunk-000000.json.gz,exact,candidate,15,0,0
candidate/s0/n15/e8,c90babd361250f965e13deb88fd6a798b42022ea0059d9f447fff3f613a7a540,study/artifacts/evaluation/candidate/seed-0/n-15/chunk-000000.json.gz,nonbipartite,candidate,15,0,8
