method,seed,iterations,rollouts,sampled_actions,optimizer_updates,iteration_wall_seconds,validation_episodes,selected_global_step,selected_validation_mean,selected_n14_validation,last_validation_mean,stage_gate_passes,budget_rollouts,budget_validation_episodes,launch_to_completion_seconds,budget_actions,budget_updates,budget_stage_size,source_sha256,checkpoint_sha256
gnn,0,60,15360,239342,440,96.18900687399491,3200,60,0.9941751020408163,0.9787755102040816,0.9941751020408163,5,12800,2200,96.68330717086792,171436,320,12,d249b5d03a9873cef3b2102d26078261254e2dbaab7451564011e4b1f1730f47,845204dd68892c83defc33e187d64e35cc8318083898f4a964b0a5fb2d176c3e
gnn,1,60,15360,240870,440,91.48561370500465,3200,60,0.9980767460317461,0.9957142857142857,0.9980767460317461,5,12800,2200,91.9995641708374,172388,320,12,d249b5d03a9873cef3b2102d26078261254e2dbaab7451564011e4b1f1730f47,e156b11d3610fae233be72545d2c66a6b934d02013ef58825102341fd2496e49
gnn,2,60,15360,239506,440,88.58771871200224,3200,55,0.9974022222222223,0.99,0.9950983673469388,5,12800,2200,89.09285140037537,171418,320,12,d249b5d03a9873cef3b2102d26078261254e2dbaab7451564011e4b1f1730f47,ffe63937b805833f16c91d49ed033d82e995e6ea1ba1db56ae0ded11b69b5d38
gnn,3,60,15360,241234,440,92.7166421640004,3200,55,0.9981546938775511,0.9936734693877551,0.9960625850340137,5,12800,2200,93.17113494873047,172830,320,12,d249b5d03a9873cef3b2102d26078261254e2dbaab7451564011e4b1f1730f47,ae29183c47aa1edd24f6329efbdb3cd4e093c1e9bba7901b471667c9fb6ad6ce
gnn,4,65,16640,252067,460,95.40656225699422,3300,65,0.9964866213151927,0.9938775510204081,0.9964866213151927,5,12800,1900,95.90293025970459,156177,290,12,d249b5d03a9873cef3b2102d26078261254e2dbaab7451564011e4b1f1730f47,d6f61a9acd4e78c38b8903d8c336b847f72c1684025a2586feb0718eacdd8186
mlp,0,500,128000,2077141,4000,694.9835186340033,30000,490,0.9784635374149661,0.9675510204081632,0.9747375623582766,0,12800,1000,698.115082025528,103984,200,6,d249b5d03a9873cef3b2102d26078261254e2dbaab7451564011e4b1f1730f47,46b8aade1dc2a3956115604d01937735a9366e1040559a2893fdcf8a217aacd0
mlp,1,500,128000,2079554,4000,670.9122081230025,30000,495,0.9819028117913833,0.9695918367346938,0.981430544217687,0,12800,1000,673.9717597961426,104020,200,6,d249b5d03a9873cef3b2102d26078261254e2dbaab7451564011e4b1f1730f47,0070b81acd7c10720bb7fe927e81a1fae689c9841bc371c3deed248629ebca52
mlp,2,490,125440,2009061,3880,623.9939384080017,29000,480,0.9834512471655328,0.9683673469387755,0.9777037301587301,1,12800,1000,626.9081211090088,103776,200,6,d249b5d03a9873cef3b2102d26078261254e2dbaab7451564011e4b1f1730f47,b567b0002bfe83016de83ad5884bd5024512a600ae1ffc0e657b8711e8a88ea1
mlp,3,500,128000,2058729,4000,649.396205224999,30000,490,0.980459977324263,0.966938775510204,0.9799418480725623,0,12800,1000,652.4015181064606,103918,200,6,d249b5d03a9873cef3b2102d26078261254e2dbaab7451564011e4b1f1730f47,d5894c0072ec65d1bf9f30c595ceb3e04baf95f30e6d1cb5b1c60c5088163252
mlp,4,390,99840,1404110,2750,310.3415261179989,19700,385,0.9803516780045352,0.9765306122448979,0.9779239115646259,2,12800,1000,312.4410037994385,103764,200,6,d249b5d03a9873cef3b2102d26078261254e2dbaab7451564011e4b1f1730f47,e3958af0b8007b0be1e903f98d81d75ce0642c1c863cf30d248dc84c1f39cbd1
candidate,0,495,126720,2063405,3950,636.1423880810062,29600,495,0.984989433106576,0.9734693877551021,0.984989433106576,1,12800,1000,637.7730131149292,103890,200,6,d249b5d03a9873cef3b2102d26078261254e2dbaab7451564011e4b1f1730f47,f72b31d969b199e462d0ac44826c34e5c44dae9bb9cf20672a3db052daf0a0d0
candidate,1,460,117760,1825513,3520,529.2527399569954,26000,455,0.9839151814058956,0.9744897959183674,0.9827130045351474,2,12800,1000,530.7727520465851,104025,200,6,d249b5d03a9873cef3b2102d26078261254e2dbaab7451564011e4b1f1730f47,edd3af64110dfaf9de411378c0f1405ce42c58f104d70996dc77028a21948d97
candidate,2,500,128000,2070842,4000,607.5835180429976,30000,500,0.9801964172335602,0.9563265306122449,0.9801964172335602,0,12800,1000,609.136078119278,103748,200,6,d249b5d03a9873cef3b2102d26078261254e2dbaab7451564011e4b1f1730f47,cc72ab4e88c937aec4f981effab318e52d352e6a5c035ae5633c5c67119aa61e
candidate,3,500,128000,2070507,4000,618.6981006670012,30000,500,0.9844203968253968,0.9785714285714286,0.9844203968253968,0,12800,1000,620.2938549518585,104063,200,6,d249b5d03a9873cef3b2102d26078261254e2dbaab7451564011e4b1f1730f47,7f583d6b2184d46fc34c9af71713783d8b205456b031b297ef7de7d99462f0e7
candidate,4,500,128000,2067543,4000,456.383200668005,30000,495,0.9816870294784581,0.9689795918367347,0.9783289795918367,0,12800,1000,457.7077088356018,103918,200,6,d249b5d03a9873cef3b2102d26078261254e2dbaab7451564011e4b1f1730f47,f234cde81aabadb1514115ab156ab3cb14f57b64e64fbf2d9f29867259aa9194
endpoint,0,70,17920,261834,480,88.22097108699927,3400,65,0.9958072789115645,0.9926530612244897,0.9952839909297053,5,12800,1600,88.55231404304504,138950,260,10,d249b5d03a9873cef3b2102d26078261254e2dbaab7451564011e4b1f1730f47,e09dc36dd19d8b49f9dc899570b33b844a0d8c61d081d51557661ea289e778ef
endpoint,1,95,24320,375903,690,128.54204991400366,5000,95,0.9959483446712017,0.9865306122448979,0.9959483446712017,5,12800,1200,128.9592170715332,117921,220,8,d249b5d03a9873cef3b2102d26078261254e2dbaab7451564011e4b1f1730f47,2d0bbb34ce54f5c2f414359cc93f99b68e15877cb8e237fc6ef032f805a358c3
endpoint,2,75,19200,272088,500,81.43814483100141,3500,75,0.9906495691609978,0.9718367346938775,0.9906495691609978,5,12800,1400,81.75227069854736,128830,240,10,d249b5d03a9873cef3b2102d26078261254e2dbaab7451564011e4b1f1730f47,93345e29782c6e891d597ed95b404246b706befa2bb57ff19eac7671523aed50
endpoint,3,70,17920,261761,480,85.52299237400166,3400,65,0.9946338888888888,0.99,0.9935745011337869,5,12800,1600,85.8378119468689,138849,260,10,d249b5d03a9873cef3b2102d26078261254e2dbaab7451564011e4b1f1730f47,e8161a2d79c9f3d4dd9964a986dce2fa0cd559a30437db5620d3d96ef3c1d0c7
endpoint,4,75,19200,276428,510,69.40876637399651,3600,75,0.9935577210884354,0.9873469387755103,0.9935577210884354,5,12800,1500,69.67993807792664,132975,250,10,d249b5d03a9873cef3b2102d26078261254e2dbaab7451564011e4b1f1730f47,c8c042a0701aa464f816dc9eeb8f2e4a7323a99a5c0f49d0cb7997e22243db2b
